File_ID,Carvone,Hexadecanal,Methyl Hexadecanoate,Ethyl Hexadecanoate,Octadecenal,Methyl Octadecenoate,Heneicosane,Ethyl Octadecenoate,Ethyl Octadecanoate,Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosane,Pentacosene,Pentacosane,Methyl Tetradecanoate,Ethyl Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,"Decanoic acid, Hexadecyl Ester",Octacosene,Tetracosyl Acetate,Nonacosene,Nonacosane,"Unknown1, mz 108,79; mw=402",Hexacosyl Acetate,Triacontene,"Hexadecenoic Acid, Dodecyl Ester","Octadecenoic Acid, Decyl Ester",Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Tritriacontene,Tritriacontane,"Unknown2, mz434,390; mw=?","Octadecenoic Acid, Hexadecyl Ester","Unknown3, mz 464,338,265,201,127; mw=?","Hexadecenoic acid, Hexadecyl Ester","Hexadecenoic acid, Octadecenyl Ester","Octadecenoic Acid, Hexadecenyl Ester",Octanoic Acid,"Octanoic Acid, Ethyl Ester"
10_2.cdf,0.011160025,0.012932338,0.094404228,0.167997389,0.014528702,0.060437796,0.173018476,0.164923385,0.026334223,0.054277497,3.70492541,6.540704141,0.21844735,0.259096294,7.912712751,7.947633027,0.007359576,0.012354014,0.010278674,0.029982707,0.391096465,0.321069153,3.602955778,4.305489426,0.319513311,0,0.131230799,0.30730732,1.499871579,2.417547516,0.274854925,0.317938258,0.015067467,0.021091287,0.023398939,0.680360664,1.185990455,0.341847275,0.063089905,0.061348016,0.004432989,0.000164092,0.002017924,0.026754185,0.004668967,0.005448963,0.000500105,0.000692205
11_2.cdf,0.03215252,0.015233515,0.287008556,0.389346445,0.017485819,0.167705704,0.369114879,0.365270782,0.051754906,0.093348989,6.430472663,7.545741278,0.452268066,0.395470359,8.580665375,8.478425122,0.022732152,0.025909339,0.010240895,0.052058059,0.499423964,0.41085746,5.277380137,5.007149156,0.372512824,0,0.177969353,0.35184408,2.396892448,2.904198493,0.30836764,0.354521567,0.02219076,0.018297763,0.051196818,1.039763994,1.403827543,0.380895402,0.077959778,0.06203272,0.005170668,0,0.002590475,0.033806073,0.004160563,0.007062051,0.000407519,0.000480703
12_2.cdf,0.051750802,0.017517628,0.248439373,0.399970866,0.018580152,0.15562618,0.461047548,0.33554251,0.054697819,0.12762025,6.063772681,8.282150082,0.45483507,0.500987604,8.313595704,8.942328422,0.026323936,0.029403233,0.012155886,0.034938136,0.505498987,0.487991765,4.817593601,6.259521061,0.428238582,0,0.136735996,0.388279248,2.482955945,4.628886621,0.262057366,0.421857797,0.008423887,0.02475092,0.014561607,1.669307327,2.746096253,0.505745789,0.148525685,0.120118418,0.005294869,0.00047661,0.00965944,0.052574094,0.0062137,0.009855092,0.000725083,0.000575707
13_2.cdf,0.099919709,0.024620545,1.457957051,0.014375312,0.020123084,1.039893395,1.665904632,0.06650511,0.013622266,0.346266738,7.286559711,9.510574682,0.834045185,0.756714388,8.827957966,8.834752662,0.067792926,0.010008852,0.014781068,0.071360522,0.645641809,0.549966911,6.336794745,5.41276802,0.400525792,0,0.198399505,0.372750273,2.718045388,2.287316971,0.487348552,0.338870984,0.036065321,0.011657081,0.0916306,0.975883543,0.857967061,0.346602011,0.05798911,0.036543788,0.001289185,0,0.000938143,0.031830703,0.001369077,0.007544601,0.003229635,0.000578967
14_2.cdf,0.008627855,0.014387283,0.274516472,0.48526296,0.018565118,0.247824861,0.204303171,0.465490493,0.052762964,0.06442605,4.055268968,6.158647987,0.243820547,0.221457774,6.994135508,7.244108273,0.021771204,0.021776456,0.010869238,0.017020673,0.360401001,0.280591373,3.146360456,3.865427766,0.271213923,0,0.1093713,0.27366642,1.148088365,1.51580731,0.273219592,0.253700415,0.020904347,0.012374231,0.028148231,0.662214949,0.605780625,0.256871315,0.038918876,0.029682424,0.004097594,3.25E-05,0,0.013162938,0.002725286,0.003675611,0.000544207,0.000459925
15_2.cdf,0.007161463,0.012262349,0.334570957,0.477428665,0.017924735,0.136178594,0.079153463,0.174962975,0.033887006,0.027893901,1.781069419,4.043183929,0.112720876,0.15997883,5.885523758,7.403943799,0.033584104,0.040545312,0.010138616,0.016282162,0.316359523,0.290720275,2.65382735,4.803633188,0.306936602,0,0.080761051,0.305812043,1.116816295,2.627047998,0.290087283,0.309214529,0.006786093,0.01482433,0.005982233,0.716223313,1.145857223,0.322035554,0.064641873,0.058996919,0.004087656,0.000192404,0.0020408,0.022448984,0.003190544,0.004159388,0.000376122,0.00048978
16_2.cdf,0.0071744,0.015270309,0.269033439,0.44162732,0.018643316,0.128583654,0.185277496,0.220418397,0.047747836,0.050332102,4.368113894,5.925224176,0.32250767,0.325092834,7.420655874,8.186032116,0.021811231,0.030412803,0.010648475,0.025627215,0.430392923,0.352136205,3.102992095,4.341473533,0.299384741,0,0.105428784,0.287567896,1.01936661,1.971798919,0.317279461,0.271511701,0.011851865,0.019505724,0.015334291,0.586640279,0.764696239,0.287437931,0.046634625,0.041565033,0.003507091,0,0.000717996,0.018660987,0.002935962,0.003868564,0.000473918,0.000412795
17_2.cdf,0.007945827,0.012800559,0.305260933,0.409005773,0.019130348,0.149680389,0.200283175,0.195344128,0.037245255,0.04091929,2.403555399,4.914629651,0.160970181,0.224510041,6.279343208,7.684522537,0.026547247,0.030993588,0.011043868,0.017899767,0.343682715,0.302995414,2.291094033,4.392892961,0.286311447,0,0.071699225,0.285601926,0.813670699,1.985053637,0.301323783,0.271652936,0.00812794,0.01438134,0.006263562,0.546772011,0.755723838,0.280605147,0.04711012,0.042511138,0.002020348,0.000214133,0.001103702,0.017979783,0.003057371,0.004190701,0.000494014,0.000629202
18_2.cdf,0.009025191,0.014543642,0.103481179,0.477022064,0.018258404,0.112924814,0.716278053,0.562384022,0.084707856,0.149368245,5.391728267,8.148435229,0.323988668,0.375788175,6.999006436,8.130957587,0.013056313,0.037751011,0.011546925,0.019451406,0.379595124,0.332572728,2.192613429,5.014450665,0.297131806,0,0.05450956,0.282406978,0.689310998,2.160234155,0.28953668,0.275996118,0.003429827,0.008161352,0.001142567,0.544725266,0.751064434,0.26622849,0.046312188,0.041077551,0.002181792,0.000121869,0.000935007,0.016576834,0.00275982,0.003633078,0.000745384,0.000800835
19_2.cdf,0.018249083,0.023550335,0.343933222,1.153719261,0.02950849,0.286831815,1.228092392,1.173955374,0.197814633,0.276391861,6.891586923,8.892587636,0.677473246,0.659437804,7.880045047,8.923081918,0.029620199,0.071816864,0.015023092,0.031299303,0.515554713,0.500198494,3.590433939,6.45317854,0.400996814,0,0.074958661,0.395510891,1.440435546,4.096402877,0.347584895,0.402863968,0.003742675,0.015411339,0.003245353,1.21399355,1.837018588,0.414209101,0.117602159,0.086323663,0.001173669,0,0.007703758,0.04163604,0.002949206,0.008916656,0.003551321,0.000898885
