File_ID,Carvone,Hexadecanal,Methyl Hexadecanoate,Ethyl Hexadecanoate,Octadecenal,Methyl Octadecenoate,Heneicosane,Ethyl Octadecenoate,Ethyl Octadecanoate,Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosane,Pentacosene,Pentacosane,Methyl Tetradecanoate,Ethyl Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,"Decanoic acid, Hexadecyl Ester",Octacosene,Tetracosyl Acetate,Nonacosene,Nonacosane,"Unknown1, mz 108,79; mw=402",Hexacosyl Acetate,Triacontene,"Hexadecenoic Acid, Dodecyl Ester","Octadecenoic Acid, Decyl Ester",Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Tritriacontene,Tritriacontane,"Unknown2, mz434,390; mw=?","Octadecenoic Acid, Hexadecyl Ester","Unknown3, mz 464,338,265,201,127; mw=?","Hexadecenoic acid, Hexadecyl Ester","Hexadecenoic acid, Octadecenyl Ester","Octadecenoic Acid, Hexadecenyl Ester",Octanoic Acid,"Octanoic Acid, Ethyl Ester"
10_2.cdf,0.025509062,0.029560133,0.215784763,0.384000562,0.033209027,0.138145883,0.395477527,0.376974148,0.060193534,0.124064959,8.468544957,14.95043515,0.49931672,0.592230171,18.08650816,18.16632729,0.016822174,0.028238226,0.023494511,0.068533066,0.893949981,0.733884831,8.235467549,9.841286052,0.730328559,0,0.299961213,0.702428677,3.428336198,5.525916869,0.628250512,0.726728376,0.03444051,0.048209475,0.053484199,1.555136536,2.710881427,0.781378489,0.144207951,0.140226422,0.010132719,0.000375074,0.004612477,0.061153463,0.010672105,0.012454984,0.001143118,0.001582209
11_2.cdf,0.058508737,0.027720804,0.522276578,0.708503368,0.031819377,0.305178224,0.671687487,0.664692288,0.094179685,0.169869468,11.70169037,13.73117229,0.8230034,0.719647207,15.6144493,15.42840018,0.041366259,0.047147866,0.01863561,0.09473134,0.908814157,0.747647496,9.60337934,9.11163333,0.677870812,0,0.32385524,0.640259386,4.361684552,5.284841926,0.561144233,0.645131677,0.040381076,0.033296893,0.093164119,1.892084291,2.554579748,0.693124796,0.14186534,0.112882477,0.009409193,0,0.004713952,0.061517749,0.00757108,0.012850989,0.000741572,0.000874747
12_2.cdf,0.085293483,0.028871814,0.409467268,0.659215067,0.030623021,0.256496489,0.75987907,0.553026975,0.090150633,0.210338299,9.994053691,13.65028951,0.749639926,0.825706581,13.70211685,14.73836753,0.043385998,0.048461165,0.020034817,0.057583559,0.833142053,0.80428739,7.940154033,10.31667789,0.70580472,0,0.225362485,0.639945436,4.092302981,7.629135168,0.431911869,0.695288181,0.013883894,0.040793419,0.023999825,2.751281739,4.52599971,0.833548821,0.244793753,0.197974097,0.00872678,0.000785529,0.01592028,0.086650399,0.010241157,0.016242745,0.001195051,0.000948856
13_2.cdf,0.158167668,0.038973033,2.30786967,0.022755366,0.031853788,1.646096792,2.637039802,0.105274106,0.021563334,0.548122114,11.53424248,15.05474173,1.320249855,1.197839253,13.97419521,13.98495085,0.107312652,0.015843488,0.023397656,0.11295997,1.022017176,0.870568822,10.03081427,8.56812835,0.634011356,0,0.314056028,0.590044164,4.302523525,3.620702996,0.771447239,0.536415024,0.057089514,0.018452548,0.145046442,1.54477255,1.358116932,0.548652835,0.091793725,0.057846903,0.002040713,0,0.001485031,0.050386337,0.002167178,0.011942708,0.005112344,0.000916474
14_2.cdf,0.021568298,0.035965972,0.686248549,1.213082045,0.046409911,0.619523667,0.510726202,1.163653947,0.131899216,0.161055119,10.13754268,15.39566359,0.609513505,0.553610046,17.48425265,18.10914575,0.054424629,0.054437758,0.027171406,0.04254904,0.900946537,0.701434859,7.865412543,9.662969155,0.67799269,0,0.273411266,0.684123552,2.870042627,3.789282886,0.683006552,0.63421164,0.05225762,0.030933655,0.070366207,1.655434538,1.51435749,0.642138399,0.097291147,0.074201451,0.010243348,8.11E-05,0,0.032905301,0.006812793,0.009188458,0.001360433,0.001149741
15_2.cdf,0.019749253,0.033816027,0.922650354,1.316610775,0.049431256,0.375541348,0.218282457,0.482497502,0.093450603,0.076923347,4.911676567,11.14993697,0.310851716,0.441175545,16.23057968,20.4179449,0.092615287,0.111812294,0.027959384,0.044901513,0.872428462,0.8017228,7.318491614,13.24703704,0.846442762,0,0.222715722,0.843341549,3.079857735,7.244641871,0.79997719,0.852724627,0.018714089,0.040881233,0.016497277,1.975137648,3.15994425,0.888081323,0.17826367,0.162696514,0.011272578,0.000530594,0.005627939,0.061907833,0.008798601,0.011470394,0.001037237,0.001350671
16_2.cdf,0.016951214,0.036079713,0.635655047,1.043448858,0.044049237,0.303809256,0.437761847,0.520790527,0.11281554,0.118921479,10.32070085,13.99974169,0.762000548,0.76810861,17.53305231,19.34143447,0.051534185,0.071857431,0.025159538,0.060550348,1.016904943,0.83200496,7.331551771,10.25775671,0.707367168,0,0.249100406,0.67944708,2.408494396,4.658840698,0.749647671,0.641510527,0.028002831,0.046086881,0.036230886,1.386076228,1.806775492,0.679140007,0.110185318,0.098207207,0.008286332,0,0.001696435,0.044090989,0.006936904,0.009140396,0.001119744,0.000975325
17_2.cdf,0.021944468,0.035352073,0.843057436,1.129575787,0.05283343,0.413381312,0.553134062,0.539493601,0.102862454,0.113009258,6.638043177,13.57302762,0.444561007,0.620042853,17.34203895,21.22280702,0.073317124,0.085596853,0.030500514,0.04943486,0.949169177,0.836800616,6.327451875,12.1321161,0.790723504,0,0.198016054,0.788763978,2.247163195,5.482241749,0.832183972,0.750240215,0.02244742,0.039717809,0.017298455,1.510053073,2.087127871,0.774964072,0.130106847,0.117405561,0.005579716,0.000591385,0.00304816,0.049655846,0.008443724,0.011573709,0.001364348,0.001737706
18_2.cdf,0.019897702,0.032064147,0.22814338,1.051683287,0.040254025,0.248963618,1.579167326,1.239879497,0.186754122,0.329309896,11.88706128,17.96473118,0.714292888,0.828494473,15.43060301,17.92619849,0.028785054,0.08322908,0.025457329,0.04288422,0.836887596,0.733218034,4.834021469,11.05528309,0.655081973,0,0.120176398,0.622618368,1.519713471,4.762635377,0.638337114,0.608484443,0.007561687,0.017993209,0.002518999,1.200947506,1.655860331,0.586949903,0.102103777,0.090563052,0.004810163,0.000268683,0.002061397,0.036546694,0.006084534,0.008009792,0.001643338,0.001765588
19_2.cdf,0.030024562,0.038746521,0.565860997,1.898172932,0.04854926,0.4719141,2.020536379,1.931466684,0.325457322,0.454737618,11.33848086,14.63065559,1.11462244,1.084949374,12.96475557,14.68082673,0.048733051,0.118157711,0.024716955,0.051495622,0.848223683,0.822958646,5.90721222,10.61718327,0.65974568,0,0.123326798,0.650719888,2.369896956,6.739664772,0.571868964,0.662817642,0.006157688,0.025355724,0.005339464,1.997340059,3.022380815,0.681483382,0.193486615,0.142025228,0.001930995,0,0.012674717,0.068502283,0.004852224,0.014670255,0.005842861,0.001478903
