BATCH,GCMS Run Date,GCMS Sample Run Number,Metadata Sample ID,HEAD or ABDOMEN
1,28-Jun-24,1,1,HEAD
1,28-Jun-24,2,2,HEAD
1,28-Jun-24,3,3,HEAD
1,28-Jun-24,4,4,HEAD
1,28-Jun-24,5,5,HEAD
1,28-Jun-24,6,6,HEAD
1,28-Jun-24,7,7,HEAD
1,28-Jun-24,8,8,HEAD
1,28-Jun-24,9,9,HEAD
1,28-Jun-24,10,10,HEAD
1,28-Jun-24,11,11,HEAD
1,28-Jun-24,12,12,HEAD
1,28-Jun-24,13,13,HEAD
1,28-Jun-24,14,14,HEAD
1,28-Jun-24,15,15,HEAD
1,28-Jun-24,16,16,HEAD
1,28-Jun-24,17,17,HEAD
1,28-Jun-24,18,18,HEAD
1,28-Jun-24,19,19,HEAD
1,28-Jun-24,20,20,HEAD
1,28-Jun-24,21,21,HEAD
1,28-Jun-24,22,22,HEAD
1,28-Jun-24,23,23,HEAD
1,28-Jun-24,24,24,HEAD
1,28-Jun-24,25,25,HEAD
1,28-Jun-24,26,26,HEAD
1,28-Jun-24,27,27,HEAD
1,28-Jun-24,28,28,HEAD
1,28-Jun-24,29,29,HEAD
1,28-Jun-24,30,30,HEAD
1,28-Jun-24,31,31,HEAD
1,28-Jun-24,32,32,HEAD
1,28-Jun-24,33,33,HEAD
1,28-Jun-24,34,34,HEAD
1,28-Jun-24,35,35,HEAD
1,28-Jun-24,36,36,HEAD
1,28-Jun-24,37,37,HEAD
1,28-Jun-24,38,38,HEAD
1,28-Jun-24,39,39,HEAD
1,28-Jun-24,40,40,HEAD
2,1-Jul-24,1,41,HEAD
2,1-Jul-24,2,42,HEAD
2,1-Jul-24,3,43,HEAD
2,1-Jul-24,4,44,HEAD
2,1-Jul-24,5,45,HEAD
2,1-Jul-24,6,46,HEAD
2,1-Jul-24,7,47,HEAD
2,1-Jul-24,8,48,HEAD
2,1-Jul-24,9,49,HEAD
2,1-Jul-24,10,50,HEAD
2,1-Jul-24,11,51,HEAD
2,1-Jul-24,12,52,HEAD
2,1-Jul-24,13,53,HEAD
2,1-Jul-24,14,54,HEAD
2,1-Jul-24,15,55,HEAD
2,1-Jul-24,16,56,HEAD
2,1-Jul-24,17,57,HEAD
2,1-Jul-24,18,58,HEAD
2,1-Jul-24,19,59,HEAD
2,1-Jul-24,20,60,HEAD
2,1-Jul-24,21,61,HEAD
2,1-Jul-24,23,1,ABDOMEN
2,1-Jul-24,24,2,ABDOMEN
2,1-Jul-24,25,3,ABDOMEN
2,1-Jul-24,26,4,ABDOMEN
2,1-Jul-24,27,5,ABDOMEN
2,1-Jul-24,28,6,ABDOMEN
2,1-Jul-24,29,7,ABDOMEN
2,1-Jul-24,30,8,ABDOMEN
2,1-Jul-24,31,9,ABDOMEN
2,1-Jul-24,32,10,ABDOMEN
2,1-Jul-24,33,11,ABDOMEN
2,1-Jul-24,34,12,ABDOMEN
2,1-Jul-24,35,13,ABDOMEN
2,1-Jul-24,36,14,ABDOMEN
2,1-Jul-24,37,15,ABDOMEN
2,1-Jul-24,38,16,ABDOMEN
2,1-Jul-24,39,17,ABDOMEN
2,1-Jul-24,40,18,ABDOMEN
2,1-Jul-24,41,19,ABDOMEN
2,1-Jul-24,42,20,ABDOMEN
2,1-Jul-24,43,21,ABDOMEN
2,1-Jul-24,44,22,ABDOMEN
2,1-Jul-24,45,23,ABDOMEN
2,1-Jul-24,46,24,ABDOMEN
2,1-Jul-24,47,25,ABDOMEN
2,1-Jul-24,48,26,ABDOMEN
2,1-Jul-24,49,27,ABDOMEN
2,1-Jul-24,50,28,ABDOMEN
2,1-Jul-24,51,29,ABDOMEN
2,1-Jul-24,52,30,ABDOMEN
2,1-Jul-24,53,31,ABDOMEN
2,1-Jul-24,54,32,ABDOMEN
2,1-Jul-24,55,33,ABDOMEN
2,1-Jul-24,56,34,ABDOMEN
2,1-Jul-24,57,35,ABDOMEN
2,1-Jul-24,58,36,ABDOMEN
2,1-Jul-24,59,37,ABDOMEN
2,1-Jul-24,60,38,ABDOMEN
2,1-Jul-24,61,39,ABDOMEN
2,1-Jul-24,62,40,ABDOMEN
2,1-Jul-24,63,41,ABDOMEN
2,1-Jul-24,64,42,ABDOMEN
2,1-Jul-24,65,43,ABDOMEN
2,1-Jul-24,66,44,ABDOMEN
2,1-Jul-24,67,45,ABDOMEN
2,1-Jul-24,68,46,ABDOMEN
2,1-Jul-24,69,47,ABDOMEN
2,1-Jul-24,70,48,ABDOMEN
2,1-Jul-24,71,49,ABDOMEN
2,1-Jul-24,72,50,ABDOMEN
2,1-Jul-24,73,51,ABDOMEN
2,1-Jul-24,74,52,ABDOMEN
2,1-Jul-24,75,53,ABDOMEN
2,1-Jul-24,76,54,ABDOMEN
2,1-Jul-24,77,55,ABDOMEN
2,1-Jul-24,78,56,ABDOMEN
2,1-Jul-24,79,57,ABDOMEN
2,1-Jul-24,80,58,ABDOMEN
2,1-Jul-24,81,59,ABDOMEN
2,1-Jul-24,82,60,ABDOMEN
2,1-Jul-24,83,61,ABDOMEN
