,,,,,,ANNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MASON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound ID,Compound Class,Avg. RI,Avg. RT,Est. Retention Time (min) (Anne),Est. Retention Time (min) (Mason),10a.cdf,11a.cdf,12a.cdf,13a.cdf,14a.cdf,15a.cdf,16a.cdf,17a.cdf,18a.cdf,19a.cdf,1a.cdf,20a.cdf,21a.cdf,22a.cdf,23a.cdf,24a.cdf,25a.cdf,26a.cdf,27a.cdf,28a.cdf,29a.cdf,2a.cdf,30a.cdf,31a.cdf,32a.cdf,33a.cdf,34a.cdf,35a.cdf,36a.cdf,37a.cdf,38a.cdf,39a.cdf,3a.cdf,40a.cdf,41a.cdf,42a.cdf,43a.cdf,44a.cdf,45a.cdf,46a.cdf,47a.cdf,48a.cdf,49a.cdf,4a.cdf,50a.cdf,51a.cdf,52a.cdf,53a.cdf,54a.cdf,55a.cdf,56a.cdf,57a.cdf,58a.cdf,59a.cdf,5a.cdf,60a.cdf,61a.cdf,62a.cdf,63a.cdf,64a.cdf,65a.cdf,66a.cdf,67a.cdf,68a.cdf,69a.cdf,6a.cdf,70a.cdf,71a.cdf,72a.cdf,73a.cdf,74a.cdf,75a.cdf,76a.cdf,77a.cdf,78a.cdf,79a.cdf,7a.cdf,80a.cdf,81a.cdf,82a.cdf,83a.cdf,84a.cdf,85a.cdf,86a.cdf,87a.cdf,88a.cdf,89a.cdf,8a.cdf,90a.cdf,91a.cdf,92a.cdf,93a.cdf,9a.cdf,1.cdf,10.cdf,11.cdf,12.cdf,13.cdf,14.cdf,15.cdf,16.cdf,17.cdf,18.cdf,19.cdf,2.cdf,20.cdf,21.cdf,22.cdf,23.cdf,24.cdf,25.cdf,26.cdf,27.cdf,28.cdf,29.cdf,3.cdf,30.cdf,31.cdf,32.cdf,33.cdf,34.cdf,35.cdf,36.cdf,37.cdf,38.cdf,39.cdf,4.cdf,40.cdf,41.cdf,42.cdf,43.cdf,44.cdf,45.cdf,46.cdf,47.cdf,48.cdf,49.cdf,5.cdf,50.cdf,51.cdf,52.cdf,53.cdf,54.cdf,55.cdf,56.cdf,57.cdf,58.cdf,59.cdf,6.cdf,60.cdf,61.cdf,62.cdf,63.cdf,64.cdf,65.cdf,66.cdf,67.cdf,68.cdf,69.cdf,7.cdf,70.cdf,71.cdf,72.cdf,73.cdf,74.cdf,75.cdf,76.cdf,77.cdf,78.cdf,79.cdf,8.cdf,80.cdf,81.cdf,82.cdf,83.cdf,84.cdf,85.cdf,86.cdf,87.cdf,88.cdf,89.cdf,9.cdf,90.cdf,91.cdf,92.cdf,93.cdf,QB_hd.cdf,QD_hd.cdf,QE_hd.cdf,QB_ABD_REINJ_4x.cdf,QD_ABD_REINJ_4x.cdf,QE_ABD_REINJ_4x.cdf,10_abd.cdf,10_antennae.cdf,10_hd.cdf,10_legs.cdf,10_tho.cdf,11_abd.cdf,11_antennae.cdf,11_hd.cdf,11_legs.cdf,11_tho.cdf,12_abd.cdf,12_antennae.cdf,12_hd.cdf,12_legs.cdf,12_tho.cdf,1_abd.cdf,1_antennae.cdf,1_hd.cdf,1_legs.cdf,1_tho.cdf,2_abd.cdf,2_antennae.cdf,2_hd.cdf,2_legs.cdf,2_tho.cdf,3_abd.cdf,3_antennae.cdf,3_hd.cdf,3_legs.cdf,3_tho.cdf,4_abd.cdf,4_antennae.cdf,4_hd.cdf,4_legs.cdf,4_tho.cdf,5_abd.cdf,5_antennae.cdf,5_hd.cdf,5_legs.cdf,5_tho.cdf,6_abd.cdf,6_antennae.cdf,6_hd.cdf,6_legs.cdf,6_tho.cdf,7_abd.cdf,7_antennae.cdf,7_hd.cdf,7_legs.cdf,7_tho.cdf,8_abd.cdf,8_antennae.cdf,8_hd.cdf,8_legs.cdf,8_tho.cdf,9_abd.cdf,9_antennae.cdf,9_hd.cdf,9_legs.cdf,9_tho.cdf
2-Heptanone,Ketone,890,7.619,7.622,7.616,0.0285,0.0254,0.0364,0.0295,0.0375,0.0422,0.0297,0.0417,0.0372,0.0233,0.0261,0.0765,0.0431,0.0835,0.0342,0.0502,0.0542,0.0242,0.0375,0.1048,0.0411,0.0199,0.0384,0.0661,0.0377,0.0261,0.0326,0.0382,0.0344,0.0431,0.0258,0.0332,0.0318,0.0370,0.0255,0.0027,0.0096,0.0163,0.0218,0.0233,0.0292,0.0187,0.0298,0.0370,0.0316,0.0498,0.0333,0.0263,0.0267,0.0381,0.0601,0.0258,0.0300,0.0354,0.0335,0.0406,0.0068,0.0125,0.0179,0.0277,0.0229,0.0232,0.0297,0.0329,0.0392,0.0437,0.0401,0.0433,0.0312,0.0362,0.0466,0.0314,0.1452,0.0415,0.0325,0.0438,0.0316,0.0360,0.0734,0.1039,0.0553,0.0407,0.0413,0.0453,0.0715,0.0475,0.0439,0.0410,0.0395,0.0366,0.0421,0.0357,0.0402,0.6421,0.0406,0.1264,0.0327,0.0338,0.0497,0.6079,0.1245,0.7911,0.3014,0.4978,0.1624,0.0450,0.1051,0.0243,0.1751,0.0816,0.0863,0.2054,0.0668,0.0793,0.0913,0.1791,0.1456,0.1635,0.0602,0.0391,0.0458,0.0264,0.0959,0.1310,0.0582,0.0250,0.2901,0.0247,0.0186,0.0079,0.0087,0.0178,0.0268,0.6666,0.1688,0.0838,0.0544,0.1970,0.0414,0.1475,0.0528,0.1343,0.1545,0.2775,0.3801,0.1282,0.1144,0.5106,0.4585,0.0363,0.4401,0.1508,0.0848,0.2433,0.3890,0.0569,0.1604,0.7617,0.4485,0.0533,0.5565,0.5334,0.0340,0.0430,0.0436,0.0439,0.1863,0.0960,0.6491,0.3978,0.1526,1.1263,1.2676,0.1155,0.1580,0.4219,0.1410,0.0519,0.0810,1.0083,0.3788,0.4230,0.1643,0.2248,0.0470,0.1604,0.3881,0.1120,0.2601,0.0190,0.0204,0.0235,0.0433,0.0252,0.0426,0.0424,0.0507,0.0372,0.0170,0.0435,0.0397,0.0443,0.0458,0.0291,0.0730,0.0512,0.0500,0.0292,0.0301,0.1124,0.0285,0.0279,0.0356,0.0233,0.0386,0.0346,0.0359,0.0380,0.0224,0.1179,0.0427,0.0452,0.0367,0.0226,0.1027,0.0437,0.0405,0.0323,0.0188,0.0326,0.0385,0.0434,0.0396,0.0210,0.0416,0.0394,0.0416,0.0350,0.0202,0.0360,0.0392,0.0386,0.0407,0.0223,0.0697,0.0367,0.0382,0.0390,0.0219,0.0443,0.0379,0.0589
2-Nonanone,Ketone,1093,10.802,10.802,10.802,0.0119,0.0117,0.0148,0.0110,0.0139,0.0156,0.0069,0.0115,0.0099,0.0131,0.0072,0.0228,0.0153,0.0391,0.0124,0.0237,0.0131,0.0087,0.0086,0.0116,0.0146,0.0060,0.0128,0.0298,0.0162,0.0080,0.0101,0.0095,0.0109,0.0132,0.0102,0.0118,0.0122,0.0124,0.0153,0.0192,0.0066,0.0075,0.0077,0.0109,0.0103,0.0082,0.0091,0.0125,0.0099,0.0132,0.0105,0.0095,0.0102,0.0111,0.0258,0.0097,0.0107,0.0111,0.0135,0.0115,0.0096,0.0067,0.0080,0.0113,0.0088,0.0087,0.0101,0.0098,0.0106,0.0125,0.0169,0.0130,0.0085,0.0093,0.0090,0.0102,0.0282,0.0127,0.0104,0.0139,0.0111,0.0140,0.0151,0.0188,0.0105,0.0104,0.0097,0.0100,0.0150,0.0092,0.0098,0.0124,0.0096,0.0104,0.0103,0.0103,0.0147,0.1414,0.0161,0.0319,0.0091,0.0145,0.0114,0.2515,0.0618,0.2655,0.1476,0.1903,0.0941,0.0123,0.0466,0.0054,0.1114,0.0480,0.0367,0.1224,0.0233,0.0258,0.0247,0.1265,0.0811,0.0979,0.0236,0.0083,0.0105,0.0067,0.0267,0.0667,0.0262,0.0061,0.0487,0.0068,0.0049,0.0087,0.0038,0.0057,0.0073,0.1196,0.0270,0.0183,0.0106,0.1403,0.0126,0.0307,0.0168,0.0452,0.0681,0.0731,0.2368,0.0195,0.0257,0.3171,0.1677,0.0094,0.0844,0.0486,0.0214,0.0600,0.2423,0.0174,0.0321,0.2676,0.1573,0.0127,0.1870,0.3907,0.0089,0.0178,0.0106,0.0078,0.0793,0.0338,0.2908,0.2142,0.0398,0.4595,0.4399,0.0479,0.0671,0.1661,0.0440,0.0110,0.0102,0.3918,0.0785,0.0836,0.0266,0.0450,0.0074,0.0259,0.0967,0.0229,0.0418,0.0201,0.0167,0.0220,0.0029,0.0020,0.0036,0.0019,0.0031,0.0033,0.0019,0.0038,0.0019,0.0020,0.0047,0.0021,0.0091,0.0033,0.0039,0.0017,0.0018,0.0234,0.0019,0.0019,0.0041,0.0018,0.0077,0.0020,0.0018,0.0047,0.0019,0.0129,0.0024,0.0034,0.0032,0.0020,0.0373,0.0024,0.0028,0.0018,0.0019,0.0022,0.0017,0.0019,0.0040,0.0020,0.0024,0.0020,0.0029,0.0020,0.0020,0.0024,0.0017,0.0025,0.0025,0.0019,0.0131,0.0020,0.0021,0.0030,0.0021,0.0020,0.0020,0.0039
Hexadecenal,Aldehyde,1804,20.142,20.142,20.142,0.0078,0.0126,0.0099,0.0085,0.0169,0.0132,0.0025,0.0072,0.0076,0.0138,0.0093,0.0091,0.0078,0.0111,0.0083,0.0078,0.0160,0.0385,0.0037,0.0064,0.0112,0.0037,0.0160,0.0126,0.0104,0.0058,0.0073,0.0081,0.0074,0.0284,0.0136,0.0141,0.0077,0.0107,0.0123,0.0229,0.0014,0.0024,0.0024,0.0117,0.0138,0.0042,0.0083,0.0109,0.0061,0.0133,0.0068,0.0078,0.0072,0.0125,0.0208,0.0088,0.0109,0.0128,0.0973,0.0124,0.0039,0.0039,0.0051,0.0076,0.0092,0.0109,0.0081,0.0138,0.0089,0.0316,0.0125,0.0122,0.0107,0.0060,0.0049,0.0097,0.0154,0.0087,0.0120,0.0136,0.0078,0.0215,0.0181,0.0205,0.0112,0.0160,0.0055,0.0097,0.0121,0.0066,0.0160,0.0122,0.0067,0.0124,0.0080,0.0076,0.0122,0.0023,0.0016,0.0004,0.0008,0.0008,0.0001,0.0013,0.0012,0.0026,0.0011,0.0008,0.0013,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0002,0.0000,0.0000,0.0001,0.0014,0.0011,0.0003,0.0003,0.0003,0.0013,0.0001,0.0004,0.0012,0.0006,0.0000,0.0003,0.0000,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0012,0.0006,0.0014,0.0017,0.0000,0.0009,0.0003,0.0009,0.0028,0.0006,0.0009,0.0015,0.0008,0.0006,0.0010,0.0006,0.0004,0.0009,0.0017,0.0014,0.0003,0.0020,0.0027,0.0002,0.0009,0.0014,0.0000,0.0004,0.0009,0.0022,0.0012,0.0013,0.0025,0.0024,0.0006,0.0006,0.0004,0.0003,0.0006,0.0000,0.0016,0.0031,0.0018,0.0005,0.0006,0.0007,0.0004,0.0203,0.0126,0.0144,0.0109,0.0122,0.0167,0.0525,0.0000,0.0022,0.0028,0.0071,0.0200,0.0000,0.0020,0.0018,0.0029,0.0202,0.0000,0.0027,0.0036,0.0099,0.0250,0.0011,0.0009,0.0037,0.0003,0.0067,0.0003,0.0009,0.0030,0.0008,0.0158,0.0001,0.0019,0.0051,0.0063,0.0150,0.0000,0.0024,0.0035,0.0045,0.0062,0.0000,0.0013,0.0019,0.0023,0.0463,0.0000,0.0011,0.0031,0.0078,0.1852,0.0000,0.0013,0.0037,0.0052,0.1054,0.0000,0.0010,0.0020,0.0022,0.0223,0.0000,0.0020,0.0045,0.0090
Hexadecanal,Aldehyde,1821,20.325,20.327,20.322,0.0231,0.0959,0.0249,0.0226,0.0361,0.0310,0.0115,0.0194,0.0887,0.0399,0.0192,0.0224,0.0216,0.0248,0.0211,0.0869,0.3351,0.3581,0.0126,0.0153,0.0231,0.0124,0.0312,0.0711,0.1294,0.0185,0.0210,0.0200,0.0178,0.6024,0.0422,0.0284,0.0214,0.0308,0.0434,0.0440,0.0095,0.0110,0.0111,0.0812,0.0261,0.0148,0.0215,0.0235,0.0199,0.0767,0.0175,0.0184,0.0180,0.0254,0.1851,0.0199,0.0230,0.0296,1.2468,0.0262,0.0133,0.0121,0.0156,0.0194,0.0717,0.0216,0.0187,0.0249,0.0216,0.1741,0.0234,0.0450,0.0219,0.0184,0.0160,0.0265,0.0979,0.0211,0.0236,0.0267,0.0185,0.0359,0.4966,0.4050,0.0674,0.0318,0.0178,0.0209,0.0244,0.0173,0.2170,0.0317,0.0175,0.0238,0.0210,0.0202,0.0266,0.0131,0.0113,0.0074,0.0089,0.0082,0.0078,0.0095,0.0094,0.0126,0.0095,0.0083,0.0108,0.0069,0.0046,0.0054,0.0072,0.0060,0.0061,0.0074,0.0057,0.0059,0.0065,0.0109,0.0087,0.0072,0.0070,0.0074,0.0092,0.0068,0.0071,0.0097,0.0076,0.0061,0.0081,0.0061,0.0042,0.0000,0.0038,0.0042,0.0044,0.0055,0.0052,0.0060,0.0061,0.0093,0.0074,0.0086,0.0072,0.0086,0.0094,0.0049,0.0081,0.0065,0.0079,0.0135,0.0090,0.0081,0.0099,0.0082,0.0074,0.0078,0.0076,0.0069,0.0078,0.0088,0.0088,0.0082,0.0099,0.0131,0.0070,0.0083,0.0093,0.0053,0.0077,0.0078,0.0106,0.0097,0.0099,0.0111,0.0122,0.0083,0.0084,0.0080,0.0074,0.0079,0.0065,0.0095,0.0097,0.0105,0.0075,0.0076,0.0080,0.0073,0.0396,0.0297,0.0322,0.0354,0.0345,0.0389,0.6590,0.0049,0.0122,0.0146,0.0249,0.1386,0.0046,0.0108,0.0115,0.0151,0.0714,0.0046,0.0135,0.0204,0.0467,0.1223,0.0102,0.0094,0.0155,0.0079,0.0456,0.0082,0.0087,0.0139,0.0102,0.0901,0.0075,0.0118,0.0293,0.0478,0.1604,0.0066,0.0126,0.0149,0.0173,0.0210,0.0062,0.0098,0.0115,0.0131,0.1096,0.0056,0.0096,0.0157,0.0321,0.3351,0.0053,0.0107,0.0163,0.0210,1.3640,0.0050,0.0094,0.0122,0.0142,0.0688,0.0051,0.0130,0.0234,0.0443
Nonadecane,Alkane,1898,21.146,21.146,21.146,0.0457,0.0483,0.0596,0.0286,0.0847,0.0893,0.0122,0.0234,0.0493,0.1051,0.0260,0.0402,0.0542,0.0609,0.0368,0.0346,0.0907,0.0773,0.0222,0.0425,0.0411,0.0261,0.0688,0.0634,0.0816,0.0289,0.0444,0.0585,0.0444,0.0629,0.0740,0.2280,0.0667,0.1888,0.1029,0.0497,0.0244,0.0225,0.0281,0.0397,0.0761,0.0310,0.0421,0.0861,0.0389,0.0495,0.0211,0.0418,0.0504,0.0273,0.0606,0.0540,0.0550,0.0349,0.0661,0.0851,0.0130,0.0848,0.0767,0.0426,0.0922,0.0333,0.0298,0.0374,0.0193,0.1187,0.0442,0.0498,0.0508,0.0285,0.0324,0.0317,0.1357,0.0301,0.0493,0.0377,0.0747,0.0591,0.0504,0.0591,0.0187,0.1056,0.0462,0.1783,0.0639,0.0166,0.0310,0.1001,0.0366,0.0519,0.0387,0.0292,0.1361,0.0042,0.0034,0.0019,0.0029,0.0023,0.0018,0.0047,0.0048,0.0048,0.0026,0.0017,0.0033,0.0016,0.0007,0.0011,0.0022,0.0012,0.0036,0.0035,0.0012,0.0012,0.0014,0.0051,0.0023,0.0024,0.0061,0.0037,0.0037,0.0022,0.0029,0.0047,0.0022,0.0027,0.0023,0.0063,0.0016,0.0061,0.0003,0.0007,0.0010,0.0006,0.0015,0.0017,0.0016,0.0025,0.0031,0.0028,0.0023,0.0062,0.0052,0.0011,0.0032,0.0020,0.0036,0.0025,0.0082,0.0038,0.0038,0.0047,0.0034,0.0042,0.0049,0.0021,0.0022,0.0028,0.0017,0.0034,0.0035,0.0118,0.0019,0.0039,0.0055,0.0014,0.0068,0.0039,0.0029,0.0028,0.0075,0.0031,0.0035,0.0032,0.0025,0.0025,0.0045,0.0051,0.0019,0.0017,0.0071,0.0118,0.0020,0.0022,0.0020,0.0020,0.1277,0.0318,0.0444,0.1410,0.2528,0.1751,0.0424,0.0030,0.0097,0.0099,0.0180,0.0524,0.0028,0.0113,0.0078,0.0141,0.5355,0.0029,0.0259,0.0367,0.1845,0.0393,0.0057,0.0076,0.0104,0.0089,0.0406,0.0046,0.0066,0.0100,0.0108,0.7324,0.0044,0.0274,0.0574,0.0921,0.0304,0.0039,0.0078,0.0080,0.0126,0.0272,0.0036,0.0063,0.0072,0.0113,0.8920,0.0034,0.0133,0.0311,0.1083,0.0311,0.0031,0.0066,0.0104,0.0146,0.0300,0.0030,0.0063,0.0069,0.0096,0.1669,0.0032,0.0158,0.0187,0.0972
Methyl Hexadecanoate,Ester,1926,21.427,21.429,21.424,0.0017,0.0011,0.0018,0.0014,0.0160,0.0042,0.0003,0.0030,0.0009,0.0025,0.0026,0.0012,0.0010,0.0015,0.0017,0.0020,0.0025,0.0009,0.0005,0.0005,0.0028,0.0011,0.0036,0.0029,0.0169,0.0006,0.0019,0.0014,0.0014,0.0014,0.0034,0.0438,0.0053,0.0040,0.0046,0.0088,0.0009,0.0004,0.0008,0.0012,0.0032,0.0008,0.0027,0.0023,0.0006,0.0030,0.0009,0.0012,0.0014,0.0041,0.0022,0.0016,0.0029,0.0021,0.0020,0.0086,0.0004,0.0004,0.0006,0.0010,0.0008,0.0021,0.0010,0.0026,0.0016,0.0037,0.0026,0.0028,0.0031,0.0009,0.0006,0.0020,0.0031,0.0012,0.0023,0.0019,0.0059,0.0071,0.0010,0.0015,0.0019,0.0043,0.0008,0.0029,0.0019,0.0013,0.0015,0.0045,0.0033,0.0067,0.0016,0.0015,0.0032,0.0014,0.0058,0.0227,0.0018,0.0017,0.0014,0.0531,0.0433,0.0977,0.0092,0.0004,0.0026,0.0022,0.0014,0.0043,0.0012,0.0084,0.0954,0.0016,0.0008,0.0005,0.0012,0.3599,0.0032,0.0120,0.2205,0.0124,0.0051,0.0039,0.0070,0.0034,0.0021,0.0409,0.0014,0.0171,0.0027,0.0255,0.0000,0.0045,0.0056,0.0027,0.0004,0.0121,0.0001,0.0029,0.0024,0.0042,0.0008,0.0728,0.1173,0.0060,0.0026,0.0002,0.0004,0.0129,0.0067,0.0023,0.0092,0.0010,0.0170,0.0175,0.0042,0.0122,0.0005,0.0042,0.0012,0.0013,0.0040,0.0095,0.0106,0.0094,0.0034,0.0036,0.0065,0.0042,0.0013,0.0080,0.0094,0.0020,0.0061,0.0039,0.0077,0.0033,0.0064,0.0341,0.0025,0.0369,0.0074,0.0027,0.0025,0.0021,0.0171,0.0114,0.0052,0.0052,0.0045,0.0037,0.0026,0.0024,0.0081,0.0009,0.0057,0.0032,0.0045,0.0088,0.0008,0.3670,0.0027,0.0334,0.0145,0.0009,0.0031,0.0034,0.0050,0.0039,0.0020,0.0107,0.0030,0.0015,0.0032,0.0017,0.0173,0.0029,0.0018,0.0064,0.0015,0.0047,0.0053,0.0036,0.0070,0.0013,0.0235,0.0031,0.0034,0.0037,0.0012,0.0026,0.0023,0.0026,0.0114,0.0011,0.0023,0.0034,0.0046,0.0066,0.0010,0.0055,0.0038,0.0041,0.0094,0.0009,0.0267,0.0025,0.0041,0.0087,0.0009,0.0061,0.0058,0.0050
"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",Terpenoid,1927,21.435,21.430,21.440,0.0011,0.0006,0.0012,0.0008,0.0110,0.0026,0.0002,0.0025,0.0004,0.0009,0.0016,0.0006,0.0006,0.0008,0.0012,0.0014,0.0017,0.0005,0.0002,0.0002,0.0022,0.0007,0.0021,0.0019,0.0162,0.0003,0.0015,0.0008,0.0008,0.0008,0.0023,0.0426,0.0047,0.0030,0.0024,0.0036,0.0007,0.0002,0.0006,0.0005,0.0019,0.0005,0.0017,0.0014,0.0002,0.0021,0.0004,0.0007,0.0009,0.0025,0.0013,0.0009,0.0022,0.0013,0.0012,0.0066,0.0000,0.0001,0.0003,0.0003,0.0003,0.0012,0.0004,0.0014,0.0008,0.0025,0.0017,0.0018,0.0023,0.0005,0.0002,0.0010,0.0020,0.0006,0.0014,0.0009,0.0054,0.0045,0.0005,0.0008,0.0014,0.0025,0.0005,0.0022,0.0009,0.0009,0.0010,0.0031,0.0030,0.0060,0.0011,0.0010,0.0020,0.0011,0.0056,0.0224,0.0016,0.0015,0.0013,0.0528,0.0431,0.0962,0.0089,0.0002,0.0024,0.0021,0.0013,0.0042,0.0011,0.0081,0.0941,0.0014,0.0007,0.0004,0.0011,0.3592,0.0030,0.0117,0.2197,0.0122,0.0049,0.0038,0.0069,0.0031,0.0019,0.0407,0.0012,0.0169,0.0026,0.0211,0.0000,0.0044,0.0055,0.0025,0.0003,0.0120,0.0000,0.0026,0.0022,0.0041,0.0007,0.0725,0.1171,0.0059,0.0024,0.0001,0.0003,0.0126,0.0063,0.0022,0.0089,0.0008,0.0168,0.0151,0.0040,0.0119,0.0004,0.0040,0.0010,0.0011,0.0037,0.0091,0.0105,0.0093,0.0032,0.0035,0.0064,0.0041,0.0010,0.0077,0.0092,0.0016,0.0055,0.0036,0.0075,0.0031,0.0062,0.0340,0.0023,0.0363,0.0055,0.0026,0.0023,0.0020,0.0169,0.0112,0.0038,0.0041,0.0025,0.0009,0.0009,0.0009,0.0274,0.0040,0.0135,0.0125,0.0194,0.0243,0.0037,0.0330,0.0097,0.0150,0.0973,0.0038,0.0177,0.0152,0.0236,0.0148,0.0087,0.0109,0.0129,0.0066,0.0140,0.0071,0.0087,0.0120,0.0077,0.1397,0.0063,0.0134,0.0193,0.0145,0.0244,0.0055,0.0129,0.0127,0.0144,0.0154,0.0051,0.0085,0.0097,0.0105,0.0982,0.0046,0.0093,0.0122,0.0181,0.0261,0.0044,0.0112,0.0140,0.0164,0.0201,0.0041,0.0204,0.0102,0.0119,0.2935,0.0041,0.0130,0.0151,0.0210
Eicosane,Alkane,2000,22.158,22.161,22.155,0.0108,0.0136,0.0212,0.0094,0.0597,0.0310,0.0041,0.0079,0.0125,0.0414,0.0058,0.0108,0.0144,0.0175,0.0116,0.0145,0.0318,0.0227,0.0061,0.0115,0.0108,0.0057,0.0194,0.0239,0.0244,0.0059,0.0126,0.0173,0.0092,0.0227,0.0178,0.0698,0.0181,0.0639,0.0527,0.0432,0.0047,0.0044,0.0057,0.0186,0.0211,0.0076,0.0107,0.0282,0.0073,0.0118,0.0058,0.0102,0.0123,0.0098,0.0207,0.0145,0.0155,0.0123,0.0226,0.0286,0.0044,0.0242,0.0192,0.0144,0.0274,0.0089,0.0101,0.0106,0.0060,0.0349,0.0142,0.0196,0.0143,0.0071,0.0071,0.0071,0.0527,0.0092,0.0137,0.0120,0.0198,0.0186,0.0150,0.0159,0.0088,0.0258,0.0111,0.0559,0.0181,0.0046,0.0100,0.0283,0.0102,0.0161,0.0095,0.0075,0.0371,0.0021,0.0018,0.0010,0.0015,0.0013,0.0009,0.0018,0.0020,0.0017,0.0012,0.0009,0.0012,0.0009,0.0003,0.0006,0.0008,0.0008,0.0019,0.0016,0.0006,0.0007,0.0008,0.0017,0.0010,0.0012,0.0021,0.0015,0.0018,0.0011,0.0011,0.0018,0.0011,0.0012,0.0007,0.0020,0.0007,0.0075,0.0000,0.0001,0.0003,0.0003,0.0006,0.0008,0.0009,0.0009,0.0014,0.0013,0.0010,0.0022,0.0019,0.0007,0.0013,0.0009,0.0014,0.0010,0.0024,0.0015,0.0016,0.0019,0.0015,0.0020,0.0016,0.0009,0.0010,0.0013,0.0012,0.0009,0.0016,0.0041,0.0008,0.0014,0.0020,0.0008,0.0026,0.0015,0.0012,0.0010,0.0023,0.0010,0.0014,0.0012,0.0011,0.0008,0.0016,0.0017,0.0008,0.0005,0.0041,0.0038,0.0006,0.0007,0.0008,0.0007,0.0381,0.0208,0.0350,0.0291,0.0571,0.0505,0.0139,0.0000,0.0012,0.0015,0.0051,0.0095,0.0001,0.0022,0.0007,0.0025,0.1322,0.0000,0.0045,0.0075,0.0388,0.0096,0.0002,0.0008,0.0016,0.0013,0.0091,0.0001,0.0005,0.0014,0.0013,0.1820,0.0002,0.0058,0.0153,0.0214,0.0073,0.0002,0.0007,0.0004,0.0025,0.0053,0.0000,0.0004,0.0005,0.0016,0.2738,0.0001,0.0020,0.0073,0.0275,0.0114,0.0001,0.0010,0.0018,0.0038,0.0066,0.0001,0.0008,0.0005,0.0015,0.0523,0.0002,0.0027,0.0058,0.0261
Octadecenal,Aldehyde,2009,22.264,22.264,22.264,0.0411,0.0776,0.0431,0.0380,0.1105,0.0567,0.0108,0.0158,0.0625,0.1254,0.0296,0.0269,0.0247,0.0305,0.0197,0.1529,0.3898,0.2593,0.0122,0.0278,0.0182,0.0214,0.0535,0.1575,0.1336,0.0213,0.0176,0.0154,0.0190,0.0905,0.1040,0.0401,0.0199,0.0366,0.0460,0.0604,0.0064,0.0121,0.0099,0.0929,0.0266,0.0111,0.0248,0.0353,0.0141,0.0217,0.0166,0.0288,0.0216,0.0427,0.1311,0.0304,0.0328,0.0252,0.3981,0.0552,0.0071,0.0063,0.0258,0.0161,0.0370,0.0222,0.0223,0.0380,0.0284,0.0617,0.0290,0.0575,0.0212,0.0167,0.0119,0.0183,0.0906,0.0200,0.0291,0.0335,0.0163,0.0477,0.5957,0.9968,0.0163,0.0273,0.0164,0.0213,0.0210,0.0179,0.1577,0.0355,0.0127,0.0250,0.0178,0.0207,0.0305,0.0067,0.0031,0.0012,0.0031,0.0046,0.0010,0.0039,0.0037,0.0039,0.0021,0.0016,0.0029,0.0013,0.0000,0.0004,0.0007,0.0004,0.0014,0.0004,0.0004,0.0004,0.0005,0.0024,0.0014,0.0007,0.0013,0.0026,0.0024,0.0009,0.0017,0.0018,0.0009,0.0010,0.0015,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0006,0.0005,0.0011,0.0003,0.0033,0.0020,0.0019,0.0065,0.0032,0.0006,0.0007,0.0008,0.0031,0.0012,0.0010,0.0014,0.0019,0.0019,0.0019,0.0013,0.0007,0.0014,0.0020,0.0026,0.0019,0.0011,0.0022,0.0017,0.0016,0.0032,0.0049,0.0008,0.0010,0.0038,0.0027,0.0018,0.0061,0.0025,0.0018,0.0012,0.0011,0.0012,0.0021,0.0020,0.0009,0.0018,0.0034,0.0051,0.0016,0.0019,0.0020,0.0016,0.0252,0.0220,0.0342,0.0387,0.0806,0.0516,0.1142,0.0000,0.0039,0.0083,0.0095,0.0533,0.0000,0.0048,0.0034,0.0040,0.1137,0.0000,0.0038,0.0078,0.0124,0.0270,0.0009,0.0012,0.0118,0.0007,0.0529,0.0001,0.0019,0.0096,0.0009,0.1258,0.0003,0.0049,0.0162,0.0073,0.1133,0.0000,0.0027,0.0048,0.0055,0.0578,0.0000,0.0037,0.0047,0.0028,0.3418,0.0000,0.0014,0.0078,0.0092,0.0863,0.0000,0.0024,0.0072,0.0081,0.6835,0.0000,0.0021,0.0041,0.0025,0.0785,0.0000,0.0023,0.0098,0.0112
