compound,2-Heptanone,2-Nonanone,Hexadecenal,Hexadecanal,Nonadecane,Methyl Hexadecanoate,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",Eicosane,Octadecenal,Heneicosene 1,Heneicosene 2,Heneicosane,Docosene,"Octanoic Acid, Dodecyl Ester",Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosene,Tetracosane,Pentacosene,Pentacosane,Hexacosene,Hexacosane,Docosyl Acetate,Heptacosene 1,Heptacosene 2,Heptacosane,Octacosene,Octacosane,Tetracosyl Acetate,Nonacosene 1,Nonacosene 2,Nonacosane,"Hexadecenoic Acid, Dodecyl Ester","Hexadecanoic Acid, Dodecyl Ester",Triacontene,Triacontane,Hexacosyl Acetate,Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Octacosyl Acetate,"Unknown (m/z 434, 405, 126)",Tritriacontene,Tritriacontane,"Unknown (m/z 434, 390)","Unknown (m/z 464, 338, 265, 201, 127)","Unknown (m/z 462, 433,139, 126)","Unknown (m/z 463, 418)","Octadecenoic Acid, Hexadecyl Ester"
compound_class,Ketone,Ketone,Aldehyde,Aldehyde,Alkane,Ester,Terpenoid,Alkane,Aldehyde,Alkene,Alkene,Alkane,Alkene,Ester,Alkane,Alkene,Alkane,Ester,Alkene,Alkane,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Ester,Ester,Alkene,Alkane,Ester,Alkene,Alkane,Ester,Ester,Unknown,Alkene,Alkane,Unknown,Unknown,Unknown,Unknown,Ester
Avg. RI,890,1093,1804,1821,1898,1926,1927,2000,2009,2077,2082,2100,2178,2178,2200,2279,2300,2376,2381,2400,2485,2500,2584,2600,2611,2682,2688,2700,2782,2800,2814,2884,2889,2900,2959,2973,2983,3000,3016,3086,3100,3163,3215,3221,3284,3299,3326,3374,3422,3515,3550
Avg. RT,7.619,10.802,20.142,20.325,21.146,21.427,21.435,22.158,22.264,22.924,22.973,23.131,23.865,23.865,24.07,24.779,25.076,25.616,25.663,25.826,26.527,26.74,27.338,27.477,27.559,28.145,28.194,28.382,29.012,29.187,29.312,29.983,30.033,30.202,30.769,30.916,31.034,31.214,31.407,32.272,32.515,33.341,34.121,34.222,35.283,35.542,36.058,37.01,38.052,40.679,41.565
Est. Retention Time (min) (Anne),7.622,10.802,20.142,20.327,21.146,21.429,21.43,22.161,22.264,22.924,22.973,23.132,23.863,23.868,24.064,24.779,25.074,25.619,25.646,25.826,26.525,26.694,27.338,27.463,27.545,28.14,28.194,28.33,28.996,29.176,29.312,29.978,30.049,30.164,30.769,30.916,31.025,31.2,31.407,32.269,32.477,33.349,34.119,34.222,35.281,35.537,36.05,37.01,38.052,40.676,41.565
Est. Retention Time (min) (Mason),7.616,10.802,20.142,20.322,21.146,21.424,21.44,22.155,22.264,22.924,22.973,23.131,23.868,23.862,24.075,24.812,25.079,25.614,25.679,25.826,26.53,26.787,27.338,27.49,27.572,28.15,28.194,28.434,29.029,29.198,29.312,29.989,30.016,30.24,not det.,not det.,31.042,31.227,31.407,32.275,32.553,33.333,34.124,34.222,35.286,35.548,36.066,not det.,not det.,40.681,not det.
10a.cdf,0.0254,0.0106,0.0069,0.0206,0.0407,0.0015,0.001,0.0096,0.0367,0.0126,0.0133,1.7105,0.2119,0.2858,1.1178,7.0442,8.5281,0.2063,2.2049,4.4213,10.2253,9.9294,1.7155,1.3396,0.8568,3.8971,4.0698,6.6834,0.4048,0.4338,8.0917,2.804,3.306,4.0049,0.5246,0.4519,0.595,0.5378,7.3211,4.3268,1.1458,0.1685,0.3594,0.395,0.2142,0.1344,0.1024,0.0002,0.0174,0.0224,0.0113
11a.cdf,0.0166,0.0077,0.0083,0.0627,0.0316,0.0007,0.0004,0.0089,0.0507,0.007,0.0259,1.4499,0.0944,1.1475,0.8832,4.873,6.4404,1.4442,0.8624,2.4113,7.5062,6.7265,2.1545,1.6907,0.9043,3.5656,6.5454,5.7303,0.6174,0.769,6.5337,3.6605,6.3913,4.4762,0.833,0.8631,1.0664,0.79,5.8685,7.9676,1.8517,1.0982,0.4788,0.5305,0.7925,0.2699,0.1752,0.1521,0.0322,0.0451,0.0868
12a.cdf,0.0308,0.0125,0.0084,0.021,0.0504,0.0015,0.001,0.0179,0.0365,0.0133,0.0379,2.4601,0.1437,0.137,1.3174,6.0776,8.1596,0.2905,1.0642,2.7323,8.816,8.2467,1.3337,1.4926,0.8269,4.1812,6.8731,6.6811,0.4672,0.5098,7.6145,3.9003,5.7782,3.708,0.605,0.5232,0.6997,0.5244,6.353,5.8797,0.5851,0.4761,0.3343,0.4194,0.2194,0.0993,0.1052,0.0214,0.0255,0.0205,0.0661
13a.cdf,0.034,0.0127,0.0098,0.026,0.033,0.0016,0.001,0.0109,0.0438,0.0118,0.0162,1.6179,0.1281,0.146,0.9145,7.6768,10.1744,0.2311,1.614,3.4782,11.3381,11.089,1.3931,0.9829,0.6929,4.1125,4.3327,7.0344,0.3695,0.3228,8.7502,2.853,3.5103,3.1671,0.5188,0.4531,0.5723,0.4755,5.8957,4.0031,0.7163,0.2672,0.2393,0.3148,0.1772,0.0926,0.0643,0.0141,0.0216,0.0085,0.0353
14a.cdf,0.0285,0.0105,0.0128,0.0274,0.0643,0.0121,0.0084,0.0453,0.0839,0.0162,0.0983,2.8129,0.4351,0.0976,1.8039,6.3564,7.8012,0.2422,1.955,3.8819,9.0618,8.1823,1.7066,1.6094,0.9112,4.1631,6.4248,5.8341,0.4867,0.4616,7.0764,3.762,5.1091,3.2701,0.5169,0.4921,0.6787,0.5097,6.0763,5.5346,0.6286,0.3198,0.3023,0.4888,0.2365,0.0982,0.1016,0.0094,0.0398,0.0205,0.093
