"","ID","colony_of_origin","treatment","l_index.x","w_index.x"
"1","CUT-5","drago","iso",0.356230031948882,0.166666666666667
"2","CUT-6","drago","iso",0.299793246037216,0.160062026188835
"3","CUT-7","exile","group",NA,0.285098915124442
"4","CUT-8","exile","group",0.930860582397918,NA
"5","CUT-15","exile","group",NA,0.233939628482972
"6","CUT-16","exile","group",0.606455617628802,NA
"7","CUT-21","exile","group",0.798247535596933,0.260460021905805
"8","CUT-24","exile","iso",0.667032725675379,0.257632330331649
"9","CUT-25","bios","iso",0.269230769230769,0.106669192876089
"10","CUT-26","drago","iso",0.314876584389593,0.166555481432066
"11","CUT-27","exile","group",0.709226467847158,NA
"12","CUT-28","exile","group",NA,0.246245059288538
"13","CUT-31","exile","iso",0.438520743382767,0.170452412239534
"14","CUT-32","exile","iso",0.314085056574327,0.132461958642216
"15","CUT-37","bios","iso",0.343926691362839,0.119516474946383
"16","CUT-39","bios","group",0.579244101064941,NA
"17","CUT-44","bios","group",NA,0.200687146321746
"18","CUT-46","bios","iso",0.396903175225402,0.14641317130537
"19","CUT-51","bios","iso",0.377890580936266,0.147208121827411
"20","CUT-56","drago","iso",0.407255048616305,0.164734480179506
"21","CUT-65","bios","iso",0.427248908296943,0.142008733624454
"22","CUT-66","exile","iso",0.526343705799151,0.217821782178218
"23","CUT-71","drago","iso",0.333277395536164,0.122671589192818
"24","CUT-74","bios","group",0.896224660591408,0.254045006509206
"25","CUT-76","bios","iso",0.341655266757866,0.128932968536252
"26","CUT-81","exile","iso",0.312588652482269,0.137234042553191
"27","CUT-82","exile","iso",0.337549407114625,0.138142292490119
"28","CUT-83","bios","iso",0.411636219221604,0.117752184273233
"29","CUT-85","bios","group",NA,0.248718435542054
"30","CUT-87","bios","group",0.676077265973254,NA
"31","CUT-88","exile","iso",0.678102189781022,0.218248175182482
"32","CUT-89","exile","iso",0.388281105136288,0.132764694974968
