treatment,colony,ID,tissue,Carvone,Hexadecanal,Methyl.Hexadecanoate,Ethyl.Hexadecanoate,Octadecenal,Methyl.Octadecenoate,Heneicosane,Ethyl.Octadecenoate,Ethyl.Octadecanoate,Docosane,Tricosene,Tricosane,Decanoic.Acid..Dodecyl.Ester,Tetracosane,Pentacosene,Pentacosane,Methyl.Tetradecanoate,Ethyl.Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,Decanoic.acid..Hexadecyl.Ester,Octacosene,Tetracosyl.Acetate,Nonacosene,Nonacosane,Unknown1..mz.108.79..mw.402,Hexacosyl.Acetate,Triacontene,Hexadecenoic.Acid..Dodecyl.Ester,Octadecenoic.Acid..Decyl.Ester,Hentriacontene,Hentriacontane,Eicosenoic.Acid..Decyl.Ester,Tritriacontene,Tritriacontane,Unknown2..mz434.390..mw..,Octadecenoic.Acid..Hexadecyl.Ester,Unknown3..mz.464.338.265.201.127..mw..,Hexadecenoic.acid..Hexadecyl.Ester,Hexadecenoic.acid..Octadecenyl.Ester,Octadecenoic.Acid..Hexadecenyl.Ester,Octanoic.Acid,Octanoic.Acid..Ethyl.Ester,File_ID
iso,comte,1,Head,0.184006474,0.201198317,0.010188141,0.009611399,0.061811498,0.171454668,3.065458906,0.161928013,0.017856927,0.735990289,7.300266223,10.10261685,1.023604848,1.045999092,8.018072007,8.83677124,0.005182001,0.009342906,0.022876857,0.05241722,0.636312352,0.518679167,4.305039497,4.800233112,0.394423361,0.024431496,0.151068238,0.786629114,2.010863481,2.27945235,0.519619634,0.506184039,0.055675686,0.135610624,0.152018699,1.298186413,1.310556361,1.144305607,0.147655072,0.082876504,0.014544819,0.14090461,0.025155959,0.167355133,0.013909475,0.082528914,0.040310371,0.000438013,1_1.cdf
group,comte,2,Head,0.72141434,0.458265135,0.011832355,0.128769829,0.07378875,0.069978657,1.28974041,1.458804218,0.079766335,0.541801143,8.080482155,9.749716362,3.210623175,2.326033042,8.895124761,10.06464999,0.007254296,0.015922348,0.064130359,0.051014929,1.642614912,1.05660061,5.435096376,6.745540339,0.630837778,0.23440222,0.21238507,3.777905612,3.55591446,5.052581086,0.576859234,3.497738133,0.431507351,0.812695966,0.340154278,3.551775499,4.152402228,3.048427232,0.380945396,0.219847379,0.050175033,0.713675141,0.282882025,0.668215249,0.029113297,0.275000563,0.180803304,0.034005753,2_1.cdf
iso,comte,6,Head,1.370278901,0.285138025,0.020640654,0.023643146,0.109615068,0.099888812,2.849503066,0.36910509,0.03669985,0.879415762,7.175061968,9.49958462,1.68413124,1.508740498,8.155423231,8.351870221,0.013029611,0.020755196,0.05171726,0.094771578,0.830441035,0.752460275,5.525818052,6.092440191,0.41233755,0.111354919,0.198934598,0.914534295,3.845562629,4.234322357,0.738569709,0.743710516,0.118375731,0.24145206,0.196389891,3.284163497,2.575238123,1.133643268,0.222742082,0.093159746,0.026645324,0.160952091,0.060151569,0.176057643,0.019624567,0.046874788,0.101986295,0,6_1.cdf
iso,comte,7,Head,1.510118878,0.725779788,0.020061376,0.030911952,0.085029399,0.1423934,5.438614295,1.560622972,0.042324563,3.307741157,9.728794873,12.35095085,5.389845673,6.126937899,9.643496979,11.26162185,0.010448332,0.017260231,0.127463665,0.119018389,2.809819701,2.75770843,6.821745333,8.029827942,1.213317024,0.476574532,0.631963962,7.683084179,6.318853625,7.205585211,0.857185753,8.283024121,0.546385538,1.039957234,0.406795504,6.014889685,5.634761427,2.124599287,0.478659142,0.231059097,0.337049362,0.316437077,0.20197912,0.583692968,0.22090391,0.162369033,0.161114346,0.001562186,7_1.cdf
group,comte,11,Head,0.489687065,0.087307284,0.017894113,0.105157612,0.343536048,0.127597133,6.104568514,1.690351978,0.120281923,2.508183267,8.242735544,11.66099084,2.578845796,4.125827182,8.922532872,10.56468027,0.009311379,0.029581995,0.02820879,0.122278825,1.226775992,2.777349548,6.695414532,8.84840699,1.38804995,0.018665615,0.430239355,7.158473589,6.463161223,8.584989738,0.784369068,6.736122096,0.146072405,0.171518151,0.850673155,6.875915448,7.982305513,1.119303724,0.807754648,0.490447613,0.286050977,0.069159378,0.026993271,0.30313193,0.180535858,0.194245274,0.007423279,0.013026059,11_1.cdf
iso,comte,12,Head,2.660328508,0.477573435,0.024074025,0.039198606,0.086685872,0.136070393,6.064633521,1.034065323,0.04632615,2.670681431,9.527115105,11.19803808,4.67234766,3.763803555,9.258211267,9.453006875,0.012631887,0.022825365,0.077961019,0.37793898,2.305220992,2.140681301,6.525508427,7.269563174,0.883676548,0.225181421,0.58891466,2.028359895,5.693884904,6.218834435,1.340235855,1.361268938,0.280524991,0.803650491,0.436970777,4.918599008,3.918755162,1.376248593,0.300056489,0.121927726,0.032288921,0.11999723,0.090932981,0.362673122,0.036031948,0.131174239,0.06566429,0,12_1.cdf
group,manchego,16,Head,0.01497949,0.454837004,0.016618489,0.068596728,0.333661238,0.065300826,3.350153107,0.821351253,0.050512971,0.937316147,8.003199715,9.958599051,1.748653907,2.172452687,9.085020323,9.491754749,0.00656692,0.015459872,0.024121871,0.212512548,0.943791246,1.566133805,7.662110611,7.728712416,0.881805723,0.079744874,0.337691623,4.653393111,6.892847277,7.317957659,0.74705114,4.783017202,0.158735583,0.279810441,0.595208862,6.035617902,6.610481907,3.203182307,0.481345243,0.312445366,0.202560408,0.593600369,0.122656161,0.28130756,0.103698956,0.116960626,0.002098367,0.027823188,16_1.cdf
iso,manchego,17,Head,0.537424376,0.065761397,0.021875858,0.026433319,0.06207855,0.096354043,3.04232525,0.552538232,0.054647503,1.556271176,9.109760901,11.1976888,4.331340338,4.756142444,9.89504383,10.66202299,0.010162081,0.016928785,0.031869099,0.160894224,2.280629785,3.153024517,7.937573205,7.977463503,1.295750811,0.054432108,0.785975075,9.160965835,7.990515451,7.238655045,1.660336619,9.082133145,0.247350859,0.141981357,0.5635507,7.543544965,6.263034659,1.227786919,0.865100307,0.321465911,0.93227262,0.046058764,0.040402334,0.271752503,0.204668933,0.086521214,0.025145925,0.000711296,17_1.cdf
group,manchego,19,Head,0.013004449,3.330586272,0.025829127,0.04017878,1.373203998,0.21091978,5.784048662,2.973639407,0.106668665,2.564722709,10.35644537,11.58221487,6.029285962,4.381291727,9.99613191,10.23913731,0.009218535,0.021819031,0.428242543,0.811462446,3.880225633,2.248826421,8.136798481,7.332060463,1.22711224,1.533549429,0.782023867,2.806097129,7.883998641,6.993558282,1.034016727,2.888734809,1.986627435,3.259654479,1.53781694,7.501501295,6.955776348,7.293935269,1.191046909,0.545101991,0.064521766,3.484852589,0.149571701,2.034106878,0.044337316,1.434579892,1.329391565,0.017301381,19_1.cdf
iso,manchego,22,Head,0.140479563,0.26941872,0.01930507,0.020925748,0.377723332,0.114866632,3.246603574,0.635228029,0.0509456,0.698275352,8.588041542,9.439133562,2.372202295,1.496868173,9.387403999,8.904592737,0.009285238,0.017018492,0.033168645,0.382488858,1.77504644,1.500669583,8.000621501,7.296941918,0.905541414,0.341344025,0.695279505,0.488605825,8.039529266,6.350280674,1.776224835,0.684149947,0.545140598,0.629662225,1.874536748,6.412414818,5.062868427,4.893351153,0.393489437,0.152622118,0.007827463,1.184714452,0.324261424,0.422531118,0.008010356,0.204169165,0.702079758,0.006346589,22_1.cdf
