date_collection,colony_of_origin,age,ID,GCMS_ID_head,GCMS_ID_abdomen,treatment,groupID,in_groupID,isoID,number_honeypots,number_eggCells,number_eggs,wing_1_mc_length,wing_2_mc_length,ovary_1_length,ovary_1_width,ovary_2_length,ovary_2_width,notes,sample_prep_notes,GCMS_Run_ID_head,GCMS_Run_ID_abdomen,,GCMS_batch,notes
04.OCT.24,drago,7d,CUT-1,CUT-1_head,CUT-1_abdomen,group,1,1,NA,4,7,0,2.774,2.771,2.293,0.717,2.143,0.677,,,,,,,
04.OCT.24,drago,7d,CUT-2,CUT-2_head,CUT-2_abdomen,group,1,2,NA,4,7,0,2.852,2.89,2.82,0.882,2.69,0.91,,,,,,,
04.OCT.24,drago,7d,CUT-3,CUT-3_head,CUT-3_abdomen,group,1,3,NA,4,7,0,3.03,2.987,1.947,0.735,1.769,0.559,,,,,,,
04.OCT.24,drago,7d,CUT-4,CUT-4_head,CUT-4_abdomen,group,1,4,NA,4,7,0,2.919,2.918,3,0.887,2.993,0.88,,,,,,,
04.OCT.24,drago,7d,CUT-5,CUT-5_head,CUT-5_abdomen,iso,NA,NA,1,0,0,0,2.794,2.84,1.216,0.488,0.791,0.451,,,,,,,
04.OCT.24,drago,7d,CUT-6,CUT-6_head,CUT-6_abdomen,iso,NA,NA,2,0,0,0,2.883,2.921,0.886,0.463,0.854,0.466,,,,,,,
04.OCT.24,exile,7d,CUT-7,CUT-7_head,CUT-7_abdomen,group,1,1,NA,2,15,20,3.119,3.149,2.976,0.921,2.96,0.866,,,,,,,
04.OCT.24,exile,7d,CUT-8,CUT-8_head,CUT-8_abdomen,group,1,2,NA,2,15,20,3.1,3.047,2.771,0.804,2.951,0.962,,,,,,,
04.OCT.24,exile,7d,CUT-9,CUT-9_head,CUT-9_abdomen,group,1,3,NA,2,15,20,3.093,3.106,2.955,0.919,2.834,0.852,,,,,,,
04.OCT.24,exile,7d,CUT-10,CUT-10_head,CUT-10_abdomen,group,1,4,NA,2,15,20,2.771,2.712,2.995,0.948,2.781,0.764,,,,,,,
04.OCT.24,exile,7d,CUT-11,CUT-11_head,CUT-11_abdomen,iso,NA,NA,1,2,0,0,2.662,2.61,NA,NA,NA,NA,,,,,,,
04.OCT.24,exile,7d,CUT-12,CUT-12_head,CUT-12_abdomen,group,2,1,NA,4,4,0,2.546,2.531,2.075,0.71,1.936,0.699,,,,,,,
04.OCT.24,exile,7d,CUT-13,CUT-13_head,CUT-13_abdomen,group,2,2,NA,4,4,0,2.384,2.429,1.728,0.535,1.716,0.651,,,,,,,
04.OCT.24,exile,7d,CUT-14,CUT-14_head,CUT-14_abdomen,group,2,3,NA,4,4,0,2.803,2.809,2.793,0.96,2.315,0.769,,,,,,,
04.OCT.24,exile,7d,CUT-15,CUT-15_head,CUT-15_abdomen,group,2,4,NA,4,4,0,2.583,2.585,2.916,0.633,2.477,0.576,,,,,,,
08.OCT.24,exile,7d,CUT-16,CUT-16_head,CUT-16_abdomen,group,3,1,NA,3,1,0,2.417,2.416,1.602,0.583,1.329,0.618,,,,,,,
08.OCT.24,exile,7d,CUT-17,CUT-17_head,CUT-17_abdomen,group,3,2,NA,3,1,0,2.572,2.529,1.807,0.613,1.788,0.661,,,,,,,
08.OCT.24,exile,7d,CUT-18,CUT-18_head,CUT-18_abdomen,group,3,3,NA,3,1,0,2.773,NA,0.914,0.321,0.952,0.314,,,,,,,
08.OCT.24,exile,7d,CUT-19,CUT-19_head,CUT-19_abdomen,group,3,4,NA,3,1,0,2.526,2.541,1.829,0.535,1.307,0.393,,,,,,,
08.OCT.24,exile,7d,CUT-20,CUT-20_head,CUT-20_abdomen,group,4,1,NA,1,1,0,2.171,2.152,NA,NA,NA,NA,,,,,,,
08.OCT.24,exile,7d,CUT-21,CUT-21_head,CUT-21_abdomen,group,4,2,NA,1,1,0,2.285,2.28,1.759,0.517,1.885,0.672,,,,,,,
08.OCT.24,exile,7d,CUT-22,CUT-22_head,CUT-22_abdomen,group,4,3,NA,1,1,0,2.319,2.325,1.319,0.601,1.302,0.358,,,,,,,
08.OCT.24,exile,7d,CUT-23,CUT-23_head,CUT-23_abdomen,group,4,4,NA,1,1,0,1.9,1.888,1.545,0.44,1.336,0.461,,,,,,,
08.OCT.24,exile,7d,CUT-24,CUT-24_head,CUT-24_abdomen,iso,NA,NA,2,0,0,0,2.25,2.303,1.522,0.591,1.515,0.582,,,,,,,
08.OCT.24,bios,7d,CUT-25,CUT-25_head,CUT-25_abdomen,iso,NA,NA,1,0,0,0,2.616,2.662,0.684,0.278,0.737,0.285,went with what might be a smaller ovary for the second measurement because the boundaries of the middle one were not clear,,,,,,
08.OCT.24,drago,7d,CUT-26,CUT-26_head,CUT-26_abdomen,iso,NA,NA,3,0,0,0,2.254,2.243,0.692,0.367,0.724,0.382,,,,,,,
