"Compound","p_value_ov_index","p_value_colony"
"Hexadecanal",0.668761228878249,0.817493103837232
"Methyl.Hexadecanoate",0.091145256324305,0.0307982380515737
"Ethyl.Hexadecanoate",0.0268273337431709,0.297301480328757
"Octadecenal",0.0603295403207555,0.801833549940264
"Methyl.Octadecenoate",0.132934169163465,0.0675275306572391
"Heneicosane",0.172486486590307,0.0975771640620349
"Ethyl.Octadecenoate",0.0239925060391423,0.448447020395417
"Ethyl.Octadecanoate",0.0213458597082408,0.537652486236832
"Docosane",0.937170438464581,0.000697299615222383
"Tricosene",0.00396172164978249,7.37070168583959e-05
"Tricosane",0.00534439428491846,4.35374503847532e-06
"Decanoic.Acid..Dodecyl.Ester",0.289979714761468,0.176862377037018
"Tetracosane",0.0976572739867505,0.000633247899585572
"Pentacosene",0.0061679817751722,0.697320936160676
"Pentacosane",0.00222310928026625,0.00762939145866466
"Methyl.Tetradecanoate",0.234630007140738,0.202812868866286
"Ethyl.Tetradecanoate",0.0451102269691601,0.403879601651661
"Hexadecenal",0.886455721831404,0.751308792952173
"Heneicosene",0.00408931379208271,3.99880450171554e-07
"Hexacosene",0.771701027342744,0.790866582533889
"Hexacosane",0.015902295410772,0.0509658063993434
"Heptacosene",0.000129789045170332,2.76796649249847e-11
"Heptacosane",0.0249736305516267,0.195330147457742
"Octacosane",0.0474496257280309,0.233579089715937
"Decanoic.acid..Hexadecyl.Ester",0.813627369450714,0.366362120909545
"Octacosene",0.191445747000731,1.48493873431061e-06
"Tetracosyl.Acetate",0.0661773442983776,0.0913681125429597
"Nonacosene",0.00124747984225724,1.47682939064914e-06
"Nonacosane",0.0050167579978438,0.0693181306522337
"Unknown1..mz.108.79..mw.402",0.222904143574631,0.283009591867944
"Hexacosyl.Acetate",0.142503099147546,0.148800486661334
"Triacontene",0.31056090238957,0.0297306170270148
"Hexadecenoic.Acid..Dodecyl.Ester",0.0181241279544498,2.28491017650789e-06
"Octadecenoic.Acid..Decyl.Ester",0.812321160177033,0.000103690696460623
"Hentriacontene",0.10693675157132,0.00103865146707195
"Hentriacontane",0.0527773820886789,0.117199871316977
"Eicosenoic.Acid..Decyl.Ester",0.545215551157511,0.960651030318717
"Tritriacontene",0.426193455968126,0.0897211517616594
"Tritriacontane",0.739699446291861,0.87460557043235
"Unknown2..mz434.390..mw..",0.00119044286132099,0.00214326376288408
"Octadecenoic.Acid..Hexadecyl.Ester",0.534124433889142,0.00802563080589879
"Unknown3..mz.464.338.265.201.127..mw..",0.0521363563468394,0.951509066864984
"Hexadecenoic.acid..Hexadecyl.Ester",0.00818777182762296,0.0525173977543681
"Hexadecenoic.acid..Octadecenyl.Ester",0.16563603349806,0.000699527697795419
"Octadecenoic.Acid..Hexadecenyl.Ester",0.000574755569249704,0.000237574799403002
"Octanoic.Acid",0.462087479076321,0.535608806081668
"Octanoic.Acid..Ethyl.Ester",0.225270248719623,0.602269374515938
