"ID","Carvone","Hexadecanal","Methyl.Hexadecanoate","Ethyl.Hexadecanoate","Octadecenal","Methyl.Octadecenoate","Heneicosane","Ethyl.Octadecenoate","Ethyl.Octadecanoate","Docosane","Tricosene","Tricosane","Decanoic.Acid..Dodecyl.Ester","Tetracosane","Pentacosene","Pentacosane","Methyl.Tetradecanoate","Ethyl.Tetradecanoate","Hexadecenal","Heneicosene","Hexacosene","Hexacosane","Heptacosene","Heptacosane","Octacosane","Decanoic.acid..Hexadecyl.Ester","Octacosene","Tetracosyl.Acetate","Nonacosene","Nonacosane","Unknown1..mz.108.79..mw.402","Hexacosyl.Acetate","Triacontene","Hexadecenoic.Acid..Dodecyl.Ester","Octadecenoic.Acid..Decyl.Ester","Hentriacontene","Hentriacontane","Eicosenoic.Acid..Decyl.Ester","Tritriacontene","Tritriacontane","Unknown2..mz434.390..mw..","Octadecenoic.Acid..Hexadecyl.Ester","Unknown3..mz.464.338.265.201.127..mw..","Hexadecenoic.acid..Hexadecyl.Ester","Hexadecenoic.acid..Octadecenyl.Ester","Octadecenoic.Acid..Hexadecenyl.Ester","Octanoic.Acid","Octanoic.Acid..Ethyl.Ester","File_ID.x","treatment","colony_of_origin","HEAD.or.ABDOMEN"
1,0.184006474,0.201198317,0.010188141,0.009611399,0.061811498,0.171454668,3.065458906,0.161928013,0.017856927,0.735990289,7.300266223,10.10261685,1.023604848,1.045999092,8.018072007,8.83677124,0.005182001,0.009342906,0.022876857,0.05241722,0.636312352,0.518679167,4.305039497,4.800233112,0.394423361,0.024431496,0.151068238,0.786629114,2.010863481,2.27945235,0.519619634,0.506184039,0.055675686,0.135610624,0.152018699,1.298186413,1.310556361,1.144305607,0.147655072,0.082876504,0.014544819,0.14090461,0.025155959,0.167355133,0.013909475,0.082528914,0.040310371,0.000438013,"23_2","iso","comte","ABDOMEN"
10,0.134115927,0.466439039,3.579114451,4.689111563,1.53865012,2.82267295,4.555118257,4.741293677,0.5259709,1.326500114,7.918064294,10.55399678,2.26947037,2.687285845,8.696573266,9.838796929,0.798826334,0.959098165,0.059345388,0.112837994,1.117393548,2.096417564,6.429498141,8.563940356,1.039695588,0.062336007,0.352854352,2.506258276,5.868737922,7.976384176,0.916456786,3.221926024,0.09608244,0.243308578,0.554990648,5.770415194,6.412689716,1.766257423,0.437509252,0.225785757,0.052461305,0.344514648,0.017017748,0.567957395,0.05833706,0.654496952,0.001333121,0.02951097,"32_2","group","comte","ABDOMEN"
11,0.489687065,0.087307284,0.017894113,0.105157612,0.343536048,0.127597133,6.104568514,1.690351978,0.120281923,2.508183267,8.242735544,11.66099084,2.578845796,4.125827182,8.922532872,10.56468027,0.009311379,0.029581995,0.02820879,0.122278825,1.226775992,2.777349548,6.695414532,8.84840699,1.38804995,0.018665615,0.430239355,7.158473589,6.463161223,8.584989738,0.784369068,6.736122096,0.146072405,0.171518151,0.850673155,6.875915448,7.982305513,1.119303724,0.807754648,0.490447613,0.286050977,0.069159378,0.026993271,0.30313193,0.180535858,0.194245274,0.007423279,0.013026059,"33_2","group","comte","ABDOMEN"
12,2.660328508,0.477573435,0.024074025,0.039198606,0.086685872,0.136070393,6.064633521,1.034065323,0.04632615,2.670681431,9.527115105,11.19803808,4.67234766,3.763803555,9.258211267,9.453006875,0.012631887,0.022825365,0.077961019,0.37793898,2.305220992,2.140681301,6.525508427,7.269563174,0.883676548,0.225181421,0.58891466,2.028359895,5.693884904,6.218834435,1.340235855,1.361268938,0.280524991,0.803650491,0.436970777,4.918599008,3.918755162,1.376248593,0.300056489,0.121927726,0.032288921,0.11999723,0.090932981,0.362673122,0.036031948,0.131174239,0.06566429,0,"34_2","iso","comte","ABDOMEN"
13,0.041689833,0.184272017,0.008374829,0.071218821,0.244193349,0.036401458,1.193802615,0.32642058,0.050897966,0.222318522,5.587710955,8.106668307,0.582983693,0.78281297,8.398249869,8.337125855,0.005688151,0.013962793,0.020433332,0.080698266,0.550797317,0.901343398,7.453553987,7.30823813,0.560263909,0.026998036,0.261664081,0.628084383,6.40960249,6.41149922,0.671825397,0.717392945,0.061413551,0.108853939,0.278168005,4.223016709,4.354890844,1.253102072,0.191107155,0.106700988,0.022082333,0.23127137,0.013812802,0.155276668,0.0255437,0.133962152,0.001192392,0.007385762,"35_2","group","manchego","ABDOMEN"
14,0.148943904,0.690574117,0.011939506,0.195254856,0.360424319,0.063622177,2.992705419,1.303224031,0.091425928,0.784758309,8.69708756,9.740516041,2.143374017,1.884775295,9.454991285,9.305654432,0.006303222,0.025755475,0.025111796,0.330139341,1.256022259,1.428867924,8.213837512,7.505065169,0.821716534,0.148997076,0.467146924,1.736861121,7.638795564,6.740439227,0.70569443,1.184210447,0.253443362,0.416698105,0.958828771,5.958774161,5.56185382,4.130423401,0.397228142,0.19769218,0.030630465,0.760522625,0.492439291,0.291313067,0.020624891,0.202054511,0.01188504,0.200670175,"36_2","group","manchego","ABDOMEN"
15,0.050487471,0.222700989,0.020933549,0.077639757,0.2195949,0.059189171,2.659717715,0.492833481,0.058441738,0.644385251,7.471221454,9.557663405,1.342639402,1.833851111,9.12512485,9.444503277,0.007262019,0.018654223,0.023120435,0.171662739,1.015336391,1.713538354,7.987581846,7.997268255,0.922759922,0.063817614,0.429372387,1.564621019,7.627250024,7.380243194,0.917816556,1.239823561,0.159860651,0.170115763,0.564300117,6.121857073,6.139082386,1.893698018,0.347719997,0.199040754,0.063937614,0.351030385,0.029897777,0.201963209,0.043402452,0.09388361,0.002358158,0.009672953,"37_2","group","manchego","ABDOMEN"
16,0.01497949,0.454837004,0.016618489,0.068596728,0.333661238,0.065300826,3.350153107,0.821351253,0.050512971,0.937316147,8.003199715,9.958599051,1.748653907,2.172452687,9.085020323,9.491754749,0.00656692,0.015459872,0.024121871,0.212512548,0.943791246,1.566133805,7.662110611,7.728712416,0.881805723,0.079744874,0.337691623,4.653393111,6.892847277,7.317957659,0.74705114,4.783017202,0.158735583,0.279810441,0.595208862,6.035617902,6.610481907,3.203182307,0.481345243,0.312445366,0.202560408,0.593600369,0.122656161,0.28130756,0.103698956,0.116960626,0.002098367,0.027823188,"38_2","group","manchego","ABDOMEN"
17,0.537424376,0.065761397,0.021875858,0.026433319,0.06207855,0.096354043,3.04232525,0.552538232,0.054647503,1.556271176,9.109760901,11.1976888,4.331340338,4.756142444,9.89504383,10.66202299,0.010162081,0.016928785,0.031869099,0.160894224,2.280629785,3.153024517,7.937573205,7.977463503,1.295750811,0.054432108,0.785975075,9.160965835,7.990515451,7.238655045,1.660336619,9.082133145,0.247350859,0.141981357,0.5635507,7.543544965,6.263034659,1.227786919,0.865100307,0.321465911,0.93227262,0.046058764,0.040402334,0.271752503,0.204668933,0.086521214,0.025145925,0.000711296,"39_2","iso","manchego","ABDOMEN"
18,0.014497872,0.062545153,0.01598755,0.016531558,0.061623844,0.049934361,1.546212597,0.267310363,0.016904336,0.500896555,7.128243065,9.877608184,1.946207152,2.940182629,8.951043256,9.971717378,0.007958592,0.014046078,0.029577304,0.07560863,1.111706567,1.914516742,6.886787184,7.915444322,0.794901695,0.050728644,0.296566007,1.581879288,5.422340537,7.18327193,0.777269408,2.233501599,0.084700188,0.127001564,0.164436221,4.177296278,5.112020376,0.963596791,0.217668663,0.15613927,0.011050469,0.057540282,0.009626225,0.143443198,0.012835486,0.114196998,0.100216636,0.006687035,"40_2","group","manchego","ABDOMEN"
