,,,,,,ANNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MASON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound ID,Compound Class,Avg. RI,Avg. RT,Est. Retention Time (min) (Anne),Est. Retention Time (min) (Mason),10a.cdf,11a.cdf,12a.cdf,13a.cdf,14a.cdf,15a.cdf,16a.cdf,17a.cdf,18a.cdf,19a.cdf,1a.cdf,20a.cdf,21a.cdf,22a.cdf,23a.cdf,24a.cdf,25a.cdf,26a.cdf,27a.cdf,28a.cdf,29a.cdf,2a.cdf,30a.cdf,31a.cdf,32a.cdf,33a.cdf,34a.cdf,35a.cdf,36a.cdf,37a.cdf,38a.cdf,39a.cdf,3a.cdf,40a.cdf,41a.cdf,42a.cdf,43a.cdf,44a.cdf,45a.cdf,46a.cdf,47a.cdf,48a.cdf,49a.cdf,4a.cdf,50a.cdf,51a.cdf,52a.cdf,53a.cdf,54a.cdf,55a.cdf,56a.cdf,57a.cdf,58a.cdf,59a.cdf,5a.cdf,60a.cdf,61a.cdf,62a.cdf,63a.cdf,64a.cdf,65a.cdf,66a.cdf,67a.cdf,68a.cdf,69a.cdf,6a.cdf,70a.cdf,71a.cdf,72a.cdf,73a.cdf,74a.cdf,75a.cdf,76a.cdf,77a.cdf,78a.cdf,79a.cdf,7a.cdf,80a.cdf,81a.cdf,82a.cdf,83a.cdf,84a.cdf,85a.cdf,86a.cdf,87a.cdf,88a.cdf,89a.cdf,8a.cdf,90a.cdf,91a.cdf,92a.cdf,93a.cdf,9a.cdf,1.cdf,10.cdf,11.cdf,12.cdf,13.cdf,14.cdf,15.cdf,16.cdf,17.cdf,18.cdf,19.cdf,2.cdf,20.cdf,21.cdf,22.cdf,23.cdf,24.cdf,25.cdf,26.cdf,27.cdf,28.cdf,29.cdf,3.cdf,30.cdf,31.cdf,32.cdf,33.cdf,34.cdf,35.cdf,36.cdf,37.cdf,38.cdf,39.cdf,4.cdf,40.cdf,41.cdf,42.cdf,43.cdf,44.cdf,45.cdf,46.cdf,47.cdf,48.cdf,49.cdf,5.cdf,50.cdf,51.cdf,52.cdf,53.cdf,54.cdf,55.cdf,56.cdf,57.cdf,58.cdf,59.cdf,6.cdf,60.cdf,61.cdf,62.cdf,63.cdf,64.cdf,65.cdf,66.cdf,67.cdf,68.cdf,69.cdf,7.cdf,70.cdf,71.cdf,72.cdf,73.cdf,74.cdf,75.cdf,76.cdf,77.cdf,78.cdf,79.cdf,8.cdf,80.cdf,81.cdf,82.cdf,83.cdf,84.cdf,85.cdf,86.cdf,87.cdf,88.cdf,89.cdf,9.cdf,90.cdf,91.cdf,92.cdf,93.cdf,QB_hd.cdf,QD_hd.cdf,QE_hd.cdf,QB_ABD_REINJ_4x.cdf,QD_ABD_REINJ_4x.cdf,QE_ABD_REINJ_4x.cdf,10_abd.cdf,10_antennae.cdf,10_hd.cdf,10_legs.cdf,10_tho.cdf,11_abd.cdf,11_antennae.cdf,11_hd.cdf,11_legs.cdf,11_tho.cdf,12_abd.cdf,12_antennae.cdf,12_hd.cdf,12_legs.cdf,12_tho.cdf,1_abd.cdf,1_antennae.cdf,1_hd.cdf,1_legs.cdf,1_tho.cdf,2_abd.cdf,2_antennae.cdf,2_hd.cdf,2_legs.cdf,2_tho.cdf,3_abd.cdf,3_antennae.cdf,3_hd.cdf,3_legs.cdf,3_tho.cdf,4_abd.cdf,4_antennae.cdf,4_hd.cdf,4_legs.cdf,4_tho.cdf,5_abd.cdf,5_antennae.cdf,5_hd.cdf,5_legs.cdf,5_tho.cdf,6_abd.cdf,6_antennae.cdf,6_hd.cdf,6_legs.cdf,6_tho.cdf,7_abd.cdf,7_antennae.cdf,7_hd.cdf,7_legs.cdf,7_tho.cdf,8_abd.cdf,8_antennae.cdf,8_hd.cdf,8_legs.cdf,8_tho.cdf,9_abd.cdf,9_antennae.cdf,9_hd.cdf,9_legs.cdf,9_tho.cdf
2-Heptanone,Ketone,890,7.619,7.622,7.616,0.0254,0.0166,0.0308,0.0340,0.0285,0.0328,0.0299,0.0453,0.0366,0.0217,0.0234,0.0805,0.0348,0.0788,0.0329,0.0844,0.0779,0.0432,0.0476,0.0830,0.0348,0.0140,0.0312,0.0954,0.0518,0.0250,0.0332,0.0336,0.0257,0.0404,0.0245,0.0214,0.0289,0.0307,0.0350,0.0037,0.0101,0.0205,0.0230,0.0179,0.0272,0.0194,0.0265,0.0258,0.0272,0.0375,0.0293,0.0226,0.0218,0.0353,0.0728,0.0186,0.0219,0.0296,0.0337,0.0304,0.0091,0.0110,0.0150,0.0306,0.0257,0.0182,0.0280,0.0293,0.0348,0.0491,0.0322,0.0656,0.0254,0.0361,0.0414,0.0263,0.1529,0.0432,0.0268,0.0397,0.0262,0.0303,0.0730,0.1249,0.0677,0.0350,0.0352,0.0376,0.0725,0.0381,0.0523,0.0278,0.0325,0.0241,0.0333,0.0291,0.0278,1.5827,0.1373,0.3514,0.0957,0.1060,0.1357,1.2119,0.2134,1.9603,1.0113,1.7257,0.3516,0.1637,0.5028,0.1096,0.6162,0.5843,0.4771,1.2132,0.3951,0.3027,0.3794,0.5804,0.5208,0.6603,0.2525,0.0676,0.1440,0.0963,0.2083,0.3625,0.2653,0.0968,0.7754,0.0732,0.1003,0.0932,0.0659,0.1249,0.1512,4.2894,0.5028,0.2525,0.1581,0.6227,0.0856,0.3741,0.1616,0.2714,0.4622,1.2052,1.3476,0.3590,0.2327,1.4806,1.0597,0.0723,1.1091,0.4149,0.2390,0.8688,1.0042,0.1292,0.4781,2.0229,1.3680,0.1412,1.3197,1.2962,0.0939,0.0783,0.0743,0.1038,0.5570,0.1955,1.9221,1.1031,0.2655,2.9965,3.2971,0.4213,0.4681,1.4468,0.2842,0.1676,0.2817,2.3498,1.0639,0.6277,0.4055,0.4681,0.1363,0.4350,0.3211,0.1274,0.2547,0.0084,0.0061,0.0089,0.0492,4.7225,0.1498,0.1281,0.1212,0.0353,2.3948,0.1606,0.1164,0.0769,0.0187,1.1885,0.0742,0.0421,0.0241,0.0413,3.6359,0.4379,0.0865,0.0790,0.0470,2.4554,0.1701,0.1075,0.1071,0.0154,0.4606,0.1084,0.0329,0.0253,0.0534,3.6447,0.4443,0.4017,0.1125,0.0392,2.4063,0.1189,0.1304,0.1061,0.0177,1.0659,0.0717,0.0374,0.0243,0.0472,3.4288,0.1415,0.1052,0.0898,0.0427,3.4966,0.2156,0.1066,0.0836,0.0198,0.8984,0.0450,0.0382,0.0267
2-Nonanone,Ketone,1093,10.802,10.802,10.802,0.0106,0.0077,0.0125,0.0127,0.0105,0.0121,0.0070,0.0125,0.0098,0.0122,0.0064,0.0240,0.0123,0.0369,0.0119,0.0398,0.0188,0.0156,0.0109,0.0092,0.0123,0.0042,0.0104,0.0430,0.0222,0.0077,0.0103,0.0084,0.0081,0.0124,0.0096,0.0076,0.0112,0.0103,0.0210,0.0267,0.0069,0.0094,0.0081,0.0084,0.0096,0.0086,0.0081,0.0087,0.0085,0.0099,0.0092,0.0082,0.0083,0.0102,0.0313,0.0070,0.0078,0.0093,0.0136,0.0086,0.0129,0.0059,0.0066,0.0125,0.0098,0.0068,0.0096,0.0088,0.0094,0.0141,0.0136,0.0197,0.0069,0.0092,0.0080,0.0086,0.0297,0.0132,0.0086,0.0126,0.0092,0.0118,0.0151,0.0226,0.0128,0.0090,0.0083,0.0083,0.0152,0.0074,0.0117,0.0084,0.0079,0.0069,0.0081,0.0084,0.0101,0.3485,0.0544,0.0888,0.0267,0.0455,0.0310,0.5014,0.1060,0.6580,0.4951,0.6598,0.2037,0.0448,0.2232,0.0243,0.3922,0.3436,0.2030,0.7230,0.1377,0.0983,0.1025,0.4100,0.2903,0.3955,0.0990,0.0143,0.0331,0.0244,0.0580,0.1845,0.1196,0.0235,0.1301,0.0203,0.0266,0.1029,0.0287,0.0399,0.0409,0.7696,0.0805,0.0552,0.0309,0.4433,0.0260,0.0778,0.0513,0.0913,0.2038,0.3175,0.8396,0.0546,0.0523,0.9194,0.3876,0.0187,0.2127,0.1338,0.0602,0.2141,0.6257,0.0394,0.0956,0.7107,0.4796,0.0335,0.4435,0.9495,0.0245,0.0324,0.0181,0.0183,0.2371,0.0689,0.8612,0.5939,0.0693,1.2225,1.1443,0.1746,0.1988,0.5697,0.0887,0.0356,0.0353,0.9131,0.2205,0.1241,0.0656,0.0937,0.0214,0.0704,0.0800,0.0260,0.0409,0.0089,0.0050,0.0084,0.0033,0.3752,0.0125,0.0057,0.0075,0.0031,0.2647,0.0141,0.0057,0.0034,0.0019,0.0859,0.0093,0.0027,0.0019,0.0024,0.2200,0.0913,0.0057,0.0055,0.0054,0.1850,0.0340,0.0063,0.0054,0.0019,0.0385,0.0118,0.0019,0.0019,0.0047,0.3257,0.1612,0.0225,0.0077,0.0022,0.2416,0.0079,0.0058,0.0047,0.0018,0.1024,0.0041,0.0019,0.0017,0.0027,0.3342,0.0093,0.0045,0.0058,0.0026,0.3048,0.0406,0.0057,0.0045,0.0015,0.0842,0.0021,0.0020,0.0018
Hexadecenal,Aldehyde,1804,20.142,20.142,20.142,0.0069,0.0083,0.0084,0.0098,0.0128,0.0102,0.0025,0.0078,0.0075,0.0128,0.0083,0.0095,0.0063,0.0105,0.0080,0.0131,0.0229,0.0688,0.0047,0.0050,0.0095,0.0026,0.0130,0.0182,0.0143,0.0056,0.0074,0.0071,0.0056,0.0266,0.0129,0.0091,0.0070,0.0089,0.0169,0.0319,0.0014,0.0030,0.0025,0.0090,0.0128,0.0043,0.0073,0.0076,0.0053,0.0100,0.0060,0.0067,0.0058,0.0116,0.0251,0.0064,0.0079,0.0107,0.0976,0.0093,0.0052,0.0034,0.0043,0.0084,0.0103,0.0085,0.0076,0.0123,0.0079,0.0355,0.0100,0.0185,0.0087,0.0059,0.0044,0.0081,0.0162,0.0091,0.0099,0.0123,0.0065,0.0181,0.0180,0.0246,0.0137,0.0138,0.0047,0.0080,0.0122,0.0053,0.0191,0.0083,0.0055,0.0082,0.0064,0.0062,0.0084,0.0058,0.0054,0.0010,0.0024,0.0025,0.0002,0.0026,0.0021,0.0064,0.0037,0.0027,0.0028,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0014,0.0000,0.0000,0.0006,0.0044,0.0039,0.0011,0.0011,0.0005,0.0040,0.0005,0.0008,0.0032,0.0025,0.0000,0.0008,0.0000,0.0000,0.0550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0009,0.0029,0.0020,0.0028,0.0052,0.0000,0.0032,0.0009,0.0018,0.0082,0.0015,0.0018,0.0037,0.0023,0.0018,0.0036,0.0016,0.0010,0.0028,0.0044,0.0043,0.0009,0.0048,0.0065,0.0005,0.0016,0.0024,0.0000,0.0013,0.0019,0.0065,0.0034,0.0022,0.0068,0.0062,0.0024,0.0016,0.0014,0.0006,0.0020,0.0000,0.0036,0.0087,0.0027,0.0011,0.0012,0.0019,0.0011,0.0168,0.0143,0.0141,0.0048,0.0037,0.0063,0.0596,0.0000,0.0078,0.0084,0.0171,0.0190,0.0000,0.0075,0.0054,0.0051,0.0083,0.0000,0.0027,0.0029,0.0048,0.0354,0.1347,0.0037,0.0112,0.0009,0.0089,0.0317,0.0040,0.0094,0.0025,0.0064,0.0021,0.0018,0.0040,0.0035,0.0218,0.0000,0.0105,0.0318,0.0126,0.0075,0.0000,0.0046,0.0065,0.0057,0.0207,0.0000,0.0019,0.0029,0.0045,0.2501,0.0000,0.0052,0.0099,0.0120,0.1105,0.0000,0.0030,0.0058,0.0048,0.0113,0.0000,0.0020,0.0046,0.0041
Hexadecanal,Aldehyde,1821,20.325,20.327,20.322,0.0206,0.0627,0.0210,0.0260,0.0274,0.0241,0.0116,0.0211,0.0874,0.0372,0.0173,0.0236,0.0174,0.0234,0.0204,0.1461,0.4818,0.6397,0.0160,0.0121,0.0196,0.0087,0.0254,0.1026,0.1778,0.0177,0.0214,0.0176,0.0133,0.5641,0.0400,0.0183,0.0195,0.0256,0.0597,0.0613,0.0101,0.0138,0.0117,0.0626,0.0243,0.0154,0.0191,0.0164,0.0171,0.0577,0.0154,0.0158,0.0147,0.0236,0.2240,0.0144,0.0168,0.0247,1.2513,0.0196,0.0179,0.0107,0.0130,0.0215,0.0802,0.0169,0.0177,0.0222,0.0192,0.1957,0.0188,0.0682,0.0178,0.0184,0.0142,0.0222,0.1031,0.0219,0.0195,0.0242,0.0154,0.0302,0.4944,0.4867,0.0824,0.0274,0.0152,0.0174,0.0247,0.0139,0.2586,0.0215,0.0144,0.0157,0.0166,0.0164,0.0184,0.0322,0.0382,0.0206,0.0259,0.0258,0.0212,0.0190,0.0162,0.0313,0.0320,0.0288,0.0234,0.0251,0.0219,0.0244,0.0253,0.0429,0.0339,0.0434,0.0339,0.0224,0.0270,0.0353,0.0310,0.0292,0.0294,0.0127,0.0291,0.0249,0.0155,0.0268,0.0348,0.0235,0.0216,0.0180,0.0223,0.0000,0.0288,0.0296,0.0251,0.0352,0.0155,0.0181,0.0178,0.0294,0.0152,0.0217,0.0220,0.0175,0.0281,0.0211,0.0286,0.0181,0.0160,0.0392,0.0207,0.0161,0.0249,0.0224,0.0209,0.0279,0.0197,0.0156,0.0233,0.0235,0.0269,0.0216,0.0236,0.0318,0.0194,0.0150,0.0159,0.0124,0.0231,0.0159,0.0315,0.0269,0.0173,0.0296,0.0319,0.0303,0.0250,0.0274,0.0150,0.0256,0.0226,0.0222,0.0272,0.0156,0.0185,0.0158,0.0231,0.0198,0.0327,0.0337,0.0315,0.0156,0.0103,0.0147,0.7485,0.9267,0.0429,0.0440,0.0595,0.1315,0.6454,0.0400,0.0338,0.0262,0.0292,0.1876,0.0137,0.0167,0.0225,0.1731,1.2310,0.0367,0.0470,0.0225,0.0602,0.8686,0.0385,0.0432,0.0304,0.0365,0.1539,0.0108,0.0226,0.0268,0.2333,1.0679,0.0546,0.1370,0.0482,0.0255,0.7893,0.0356,0.0389,0.0321,0.0489,0.2863,0.0166,0.0149,0.0188,0.4525,0.8982,0.0421,0.0438,0.0487,1.4294,0.7885,0.0290,0.0354,0.0310,0.0349,0.2079,0.0132,0.0236,0.0201
Nonadecane,Alkane,1898,21.146,21.146,21.146,0.0407,0.0316,0.0504,0.0330,0.0643,0.0694,0.0123,0.0254,0.0485,0.0980,0.0233,0.0423,0.0437,0.0575,0.0354,0.0581,0.1303,0.1381,0.0281,0.0337,0.0348,0.0183,0.0560,0.0915,0.1121,0.0278,0.0452,0.0515,0.0332,0.0589,0.0702,0.1469,0.0607,0.1568,0.1415,0.0692,0.0258,0.0283,0.0296,0.0306,0.0708,0.0323,0.0374,0.0601,0.0335,0.0372,0.0186,0.0359,0.0411,0.0253,0.0733,0.0390,0.0400,0.0292,0.0663,0.0638,0.0175,0.0750,0.0640,0.0471,0.1032,0.0261,0.0282,0.0333,0.0171,0.1334,0.0355,0.0756,0.0414,0.0284,0.0288,0.0266,0.1429,0.0314,0.0406,0.0342,0.0619,0.0498,0.0502,0.0710,0.0229,0.0908,0.0395,0.1481,0.0648,0.0133,0.0370,0.0679,0.0301,0.0342,0.0306,0.0238,0.0942,0.0103,0.0115,0.0052,0.0086,0.0071,0.0050,0.0094,0.0082,0.0119,0.0087,0.0059,0.0072,0.0056,0.0034,0.0051,0.0079,0.0088,0.0201,0.0205,0.0071,0.0045,0.0057,0.0165,0.0081,0.0095,0.0256,0.0064,0.0116,0.0079,0.0063,0.0129,0.0099,0.0106,0.0061,0.0186,0.0088,0.0724,0.0019,0.0050,0.0058,0.0041,0.0044,0.0052,0.0048,0.0078,0.0064,0.0072,0.0069,0.0126,0.0155,0.0047,0.0113,0.0055,0.0073,0.0072,0.0189,0.0077,0.0096,0.0131,0.0096,0.0151,0.0127,0.0048,0.0064,0.0074,0.0052,0.0090,0.0083,0.0286,0.0053,0.0070,0.0093,0.0034,0.0204,0.0080,0.0087,0.0079,0.0130,0.0082,0.0091,0.0115,0.0073,0.0086,0.0090,0.0163,0.0068,0.0039,0.0200,0.0175,0.0050,0.0046,0.0057,0.0054,0.1056,0.0361,0.0434,0.0622,0.0757,0.0664,0.0481,0.5558,0.0340,0.0298,0.0430,0.0497,0.3934,0.0416,0.0228,0.0245,0.2192,0.1198,0.0263,0.0302,0.0889,0.0557,0.6839,0.0296,0.0316,0.0252,0.0537,0.4812,0.0292,0.0311,0.0323,0.2963,0.0897,0.0252,0.0442,0.0516,0.0443,0.6272,0.0337,0.0733,0.0350,0.0330,0.4554,0.0229,0.0244,0.0276,0.3983,0.1706,0.0229,0.0295,0.0633,0.0421,0.5333,0.0261,0.0279,0.0338,0.0314,0.4772,0.0194,0.0199,0.0211,0.0847,0.1301,0.0160,0.0188,0.0441
Methyl Hexadecanoate,Ester,1926,21.427,21.429,21.424,0.0015,0.0007,0.0015,0.0016,0.0121,0.0033,0.0004,0.0033,0.0009,0.0023,0.0023,0.0012,0.0008,0.0014,0.0016,0.0033,0.0036,0.0017,0.0006,0.0004,0.0024,0.0008,0.0029,0.0041,0.0232,0.0005,0.0020,0.0013,0.0011,0.0013,0.0033,0.0282,0.0048,0.0033,0.0063,0.0123,0.0009,0.0005,0.0008,0.0009,0.0030,0.0008,0.0024,0.0016,0.0005,0.0022,0.0008,0.0011,0.0012,0.0038,0.0027,0.0012,0.0021,0.0018,0.0020,0.0064,0.0006,0.0003,0.0005,0.0011,0.0009,0.0016,0.0009,0.0023,0.0014,0.0042,0.0021,0.0043,0.0025,0.0009,0.0005,0.0017,0.0032,0.0012,0.0019,0.0017,0.0049,0.0060,0.0010,0.0018,0.0023,0.0037,0.0007,0.0024,0.0019,0.0011,0.0018,0.0030,0.0027,0.0044,0.0013,0.0012,0.0022,0.0033,0.0197,0.0630,0.0052,0.0053,0.0039,0.1059,0.0743,0.2420,0.0309,0.0015,0.0057,0.0081,0.0068,0.0194,0.0043,0.0598,0.5274,0.0095,0.0045,0.0019,0.0050,1.1664,0.0114,0.0484,0.9257,0.0214,0.0161,0.0142,0.0153,0.0093,0.0095,0.1586,0.0037,0.0507,0.0146,0.3004,0.0000,0.0312,0.0315,0.0171,0.0011,0.0365,0.0003,0.0091,0.0049,0.0107,0.0026,0.1472,0.3512,0.0262,0.0091,0.0005,0.0009,0.0374,0.0154,0.0046,0.0231,0.0027,0.0479,0.0624,0.0109,0.0277,0.0016,0.0113,0.0036,0.0034,0.0094,0.0231,0.0293,0.0172,0.0058,0.0084,0.0195,0.0086,0.0038,0.0221,0.0164,0.0053,0.0160,0.0144,0.0228,0.0112,0.0128,0.1104,0.0085,0.0860,0.0207,0.0041,0.0063,0.0044,0.0497,0.0309,0.0043,0.0059,0.0044,0.0016,0.0008,0.0009,0.0092,0.1758,0.0202,0.0096,0.0107,0.0083,0.1123,1.3554,0.0078,0.0580,0.0059,0.0356,0.0031,0.0028,0.0024,0.0056,0.2417,0.0416,0.0091,0.0043,0.0042,0.1767,0.0764,0.0090,0.0053,0.0026,0.0309,0.0043,0.0041,0.0020,0.0102,0.2112,0.1015,0.0289,0.0094,0.0044,0.1542,0.0094,0.0077,0.0063,0.0051,0.0561,0.0040,0.0032,0.0027,0.0090,0.1655,0.0215,0.0101,0.0095,0.0098,0.1440,0.0825,0.0074,0.0091,0.0044,0.0372,0.0062,0.0058,0.0023
"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",Terpenoid,1927,21.435,21.430,21.440,0.0010,0.0004,0.0010,0.0010,0.0084,0.0020,0.0002,0.0027,0.0004,0.0009,0.0014,0.0006,0.0005,0.0007,0.0012,0.0024,0.0024,0.0008,0.0003,0.0001,0.0019,0.0005,0.0017,0.0027,0.0222,0.0003,0.0015,0.0007,0.0006,0.0008,0.0022,0.0275,0.0043,0.0025,0.0033,0.0050,0.0007,0.0002,0.0006,0.0004,0.0017,0.0005,0.0015,0.0010,0.0002,0.0015,0.0003,0.0006,0.0007,0.0023,0.0016,0.0007,0.0016,0.0011,0.0012,0.0050,0.0000,0.0001,0.0003,0.0003,0.0004,0.0010,0.0004,0.0013,0.0007,0.0028,0.0014,0.0027,0.0019,0.0005,0.0002,0.0009,0.0021,0.0006,0.0011,0.0008,0.0045,0.0038,0.0005,0.0010,0.0017,0.0021,0.0004,0.0018,0.0009,0.0007,0.0012,0.0021,0.0024,0.0040,0.0008,0.0008,0.0014,0.0027,0.0190,0.0622,0.0046,0.0047,0.0036,0.1053,0.0739,0.2383,0.0298,0.0008,0.0051,0.0075,0.0064,0.0190,0.0037,0.0580,0.5207,0.0083,0.0039,0.0016,0.0045,1.1641,0.0106,0.0472,0.9224,0.0212,0.0155,0.0137,0.0150,0.0087,0.0089,0.1581,0.0033,0.0502,0.0142,0.2491,0.0000,0.0307,0.0310,0.0162,0.0008,0.0362,0.0000,0.0084,0.0046,0.0103,0.0022,0.1466,0.3503,0.0258,0.0084,0.0003,0.0007,0.0364,0.0146,0.0043,0.0225,0.0022,0.0474,0.0539,0.0104,0.0269,0.0011,0.0106,0.0029,0.0030,0.0088,0.0221,0.0289,0.0170,0.0055,0.0082,0.0190,0.0084,0.0031,0.0215,0.0160,0.0043,0.0144,0.0133,0.0222,0.0107,0.0125,0.1098,0.0081,0.0847,0.0155,0.0038,0.0057,0.0041,0.0491,0.0303,0.0031,0.0047,0.0024,0.0004,0.0003,0.0003,0.0311,0.7486,0.0475,0.0378,0.0463,0.0231,0.5176,0.1220,0.0285,0.0260,0.0398,0.1570,0.0180,0.0125,0.0114,0.0210,1.0516,0.0425,0.0391,0.0186,0.0184,0.7457,0.0384,0.0373,0.0231,0.0565,0.1303,0.0123,0.0149,0.0081,0.0356,0.8799,0.0558,0.1165,0.0399,0.0187,0.6507,0.0310,0.0330,0.0256,0.0439,0.2322,0.0160,0.0116,0.0106,0.0353,0.7468,0.0439,0.0376,0.0380,0.0211,0.6441,0.0630,0.0295,0.0261,0.1489,0.1666,0.0132,0.0152,0.0095
Eicosane,Alkane,2000,22.158,22.161,22.155,0.0096,0.0089,0.0179,0.0109,0.0453,0.0241,0.0041,0.0086,0.0123,0.0386,0.0052,0.0114,0.0116,0.0165,0.0112,0.0243,0.0457,0.0406,0.0078,0.0091,0.0091,0.0040,0.0158,0.0345,0.0335,0.0056,0.0128,0.0152,0.0069,0.0212,0.0169,0.0450,0.0165,0.0531,0.0724,0.0603,0.0049,0.0055,0.0060,0.0144,0.0196,0.0079,0.0095,0.0197,0.0062,0.0089,0.0051,0.0088,0.0101,0.0091,0.0250,0.0105,0.0113,0.0103,0.0227,0.0214,0.0059,0.0214,0.0160,0.0159,0.0307,0.0070,0.0095,0.0095,0.0053,0.0393,0.0114,0.0298,0.0117,0.0071,0.0063,0.0059,0.0554,0.0096,0.0113,0.0109,0.0164,0.0157,0.0150,0.0191,0.0108,0.0222,0.0095,0.0464,0.0184,0.0036,0.0119,0.0192,0.0084,0.0106,0.0075,0.0061,0.0257,0.0051,0.0061,0.0029,0.0043,0.0042,0.0025,0.0037,0.0034,0.0043,0.0040,0.0032,0.0025,0.0033,0.0014,0.0026,0.0029,0.0060,0.0103,0.0094,0.0037,0.0028,0.0034,0.0057,0.0037,0.0049,0.0089,0.0026,0.0057,0.0041,0.0025,0.0049,0.0049,0.0048,0.0020,0.0059,0.0037,0.0885,0.0000,0.0007,0.0019,0.0020,0.0019,0.0024,0.0025,0.0029,0.0030,0.0032,0.0030,0.0045,0.0055,0.0031,0.0046,0.0025,0.0029,0.0029,0.0056,0.0030,0.0041,0.0052,0.0043,0.0071,0.0042,0.0020,0.0031,0.0035,0.0038,0.0025,0.0037,0.0100,0.0021,0.0025,0.0033,0.0019,0.0077,0.0031,0.0036,0.0028,0.0040,0.0027,0.0037,0.0045,0.0031,0.0027,0.0033,0.0054,0.0027,0.0012,0.0115,0.0056,0.0014,0.0015,0.0023,0.0018,0.0315,0.0237,0.0342,0.0128,0.0171,0.0192,0.0158,0.0000,0.0043,0.0046,0.0123,0.0090,0.0077,0.0080,0.0021,0.0043,0.0541,0.0000,0.0046,0.0061,0.0187,0.0136,0.0278,0.0031,0.0048,0.0038,0.0120,0.0147,0.0024,0.0043,0.0040,0.0736,0.0050,0.0054,0.0118,0.0120,0.0106,0.0349,0.0029,0.0035,0.0069,0.0065,0.0000,0.0014,0.0016,0.0038,0.1222,0.0027,0.0034,0.0069,0.0161,0.0154,0.0136,0.0040,0.0049,0.0089,0.0069,0.0084,0.0024,0.0014,0.0033,0.0265,0.0081,0.0028,0.0059,0.0119
Octadecenal,Aldehyde,2009,22.264,22.264,22.264,0.0367,0.0507,0.0365,0.0438,0.0839,0.0440,0.0109,0.0172,0.0616,0.1170,0.0266,0.0283,0.0199,0.0288,0.0190,0.2570,0.5605,0.4632,0.0155,0.0220,0.0155,0.0150,0.0435,0.2272,0.1835,0.0205,0.0179,0.0135,0.0142,0.0847,0.0987,0.0258,0.0182,0.0304,0.0633,0.0842,0.0068,0.0151,0.0104,0.0716,0.0247,0.0116,0.0221,0.0246,0.0121,0.0163,0.0146,0.0248,0.0176,0.0396,0.1586,0.0220,0.0239,0.0211,0.3995,0.0414,0.0095,0.0056,0.0215,0.0177,0.0414,0.0175,0.0211,0.0339,0.0252,0.0693,0.0233,0.0872,0.0173,0.0166,0.0105,0.0154,0.0954,0.0209,0.0240,0.0304,0.0135,0.0402,0.5930,1.1978,0.0200,0.0235,0.0140,0.0177,0.0213,0.0143,0.1880,0.0241,0.0104,0.0165,0.0141,0.0169,0.0211,0.0166,0.0106,0.0033,0.0090,0.0144,0.0027,0.0078,0.0064,0.0097,0.0069,0.0057,0.0064,0.0046,0.0000,0.0016,0.0025,0.0031,0.0080,0.0026,0.0024,0.0017,0.0021,0.0079,0.0052,0.0028,0.0054,0.0045,0.0074,0.0032,0.0038,0.0051,0.0040,0.0039,0.0039,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0016,0.0017,0.0033,0.0009,0.0068,0.0051,0.0057,0.0131,0.0097,0.0025,0.0025,0.0023,0.0063,0.0035,0.0024,0.0027,0.0048,0.0052,0.0054,0.0048,0.0019,0.0032,0.0061,0.0070,0.0059,0.0029,0.0051,0.0041,0.0046,0.0058,0.0084,0.0019,0.0031,0.0077,0.0080,0.0049,0.0107,0.0067,0.0047,0.0044,0.0032,0.0040,0.0042,0.0065,0.0033,0.0042,0.0096,0.0075,0.0039,0.0039,0.0058,0.0045,0.0209,0.0251,0.0334,0.0171,0.0241,0.0196,0.1297,0.0000,0.0136,0.0250,0.0226,0.0505,0.0000,0.0176,0.0101,0.0069,0.0466,0.0000,0.0039,0.0064,0.0060,0.0382,0.1127,0.0045,0.0358,0.0021,0.0698,0.0136,0.0083,0.0299,0.0026,0.0509,0.0071,0.0045,0.0125,0.0041,0.1649,0.0000,0.0115,0.0445,0.0152,0.0700,0.0000,0.0133,0.0161,0.0068,0.1526,0.0000,0.0024,0.0074,0.0054,0.1165,0.0000,0.0094,0.0193,0.0188,0.7163,0.0000,0.0066,0.0120,0.0054,0.0398,0.0000,0.0023,0.0099,0.0051
